id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y,
0,tt0000574,the story of the kelly gang,the story of the kelly gang,1906,26/12/1906,"biography, crime, drama",70,australia,,charles tait,charles tait,j. and n. tait,"elizabeth tait, john tait, norman campbell, bella cola, will coyne, sam crewes, jack ennis, john forde, vera linden, mr. marshall, mr. mckenzie, frank mills, ollie wilson",true story of notorious australian outlaw ned kelly (1855-80).,6.1,537,$ 2250,,,,7,7,"elizabeth tait, john tait, norman campbell, bella","cola, will coyne, sam crewes, jack ennis, john forde, vera linden, mr. marshall, mr. mckenzie, frank mills, ollie wilson",
1,tt0001892,den sorte drøm,den sorte drøm,1911,19/08/1911,drama,53,"germany, denmark",,urban gad,"urban gad, gebhard schätzler-perasini",fotorama,"asta nielsen, valdemar psilander, gunnar helsengreen, emil albes, hugo flink, mary hagen","two men of high rank are both wooing the beautiful and famous equestrian acrobat stella. while stella ignores the jeweler hirsch, she accepts count von waldberg's offer to follow her home, ...",5.9,171,,,,,4,2,"asta nielsen, valdemar psilander, gunnar helsengre","en, emil albes, hugo flink, mary hagen",
2,tt0002130,l'inferno,l'inferno,1911,06/03/1911,"adventure, drama, fantasy",68,italy,italian,"francesco bertolini, adolfo padovan",dante alighieri,milano film,"salvatore papa, arturo pirovano, giuseppe de liguoro, pier delle vigne, augusto milla, attilio motta, emilise beretta",loosely adapted from dante's divine comedy and inspired by the illustrations of gustav doré the original silent film has been restored and has a new score by tangerine dream.,7,2019,,,,,28,14,"salvatore papa, arturo pirovano, giuseppe de liguor","o, pier delle vigne, augusto milla, attilio motta, emilise beretta",
3,tt0191323,oborona sevastopolya,oborona sevastopolya,1911,09/12/1911,"history, war",100,russia,,"vasili goncharov, aleksandr khanzhonkov","vasili goncharov, aleksandr khanzhonkov",khanzhonkov,"andrey gromov, n. semyonov, olga petrova-zvantseva, ivan mozzhukhin, boris gorin-goryainov, boris borisov, pavel biryukov, v. arentsvari, vladimir maksimov, aleksandra goncharova","first film ever that was shot by two cameras. set in 1854-1855, in sevastopol and yalta during the crimean war. admirals kornilov (mozzhukhin) and nakhimov (gromov) organize the defense ...",6,130,,,,,,,"andrey gromov, n. semyonov, olga petrova-zvantseva, i","van mozzhukhin, boris gorin-goryainov, boris borisov, pavel biryukov, v. arentsvari, vladimir maksimov, aleksandra goncharova",
4,tt0266688,karadjordje,karadjordje,1911,1911,"drama, war",80,serbia,serbian,ilija stanojevic-cica,cira manok,,"jovan antonijevic-djedo, teodora arsenovic, vitomir bogic, mileva bosnjakovic, dimitrije ginic, vukosava jurkovic, aleksandar milojevic, dobrica milutinovic, persa pavlovic, milorad petrovic, milorad savic, dragoljub sotirovic, ilija stanojevic-cica, sava todorovic",this is the oldest found dramatic film from serbia made in 1911. "karadjordje" is a biography of a famed leader of a rebellion against the turkish empire in 1804. we can see his whole life ...,6.3,145,,,,,4,,"jovan antonijevic-djedo, teodora arsenovic, vitomir bo","gic, mileva bosnjakovic, dimitrije ginic, vukosava jurkovic, aleksandar milojevic, dobrica milutinovic, persa pavlovic, milorad petrovic, milorad savic, dragoljub sotirovic, i","lija stanojevic-cica, sava todorovic"
5,tt0002101,cleopatra,cleopatra,1912,13/11/1912,"drama, history",100,usa,english,charles l. gaskill,victorien sardou,helen gardner picture players,"helen gardner, pearl sindelar, miss fielding, miss robson, helene costello, charles sindelar, mr. howard, james r. waite, mr. osborne, harry knowles, mr. paul, mr. brady, mr. corker",the fabled queen of egypt's affair with roman general marc antony is ulimately disastrous for both of them.,5.2,420,$ 45000,,,,24,3,"helen gardner, pearl sindelar, miss fielding, miss r","obson, helene costello, charles sindelar, mr. howard, james r. waite, mr. osborne, harry knowles, mr. paul, mr. brady, mr. corker",
6,tt0002199,"from the manger to the cross; or, jesus of nazareth","from the manger to the cross; or, jesus of nazareth",1912,1913,"biography, drama",60,usa,english,sidney olcott,gene gauntier,kalem company,"r. henderson bland, percy dyer, gene gauntier, alice hollister, samuel morgan, james d. ainsley, robert g. vignola, george kellog, j.p. mcgowan","an account of the life of jesus christ, based on the books of the new testament: after jesus' birth is foretold to his parents, he is born in bethlehem, and is visited by shepherds and wise...",5.7,438,,,,,12,5,"r. henderson bland, percy dyer, gene gauntier, alic","e hollister, samuel morgan, james d. ainsley, robert g. vignola, george kellog, j.p. mcgowan",
7,tt0002452,independenta romaniei,independenta romaniei,1912,01/09/1912,"history, war",120,romania,,aristide demetriade,"aristide demetriade, petre liciu",societatea filmului de arta leon popescu,"aristide demetriade, constanta demetriade, constantin nottara, pepi machauer, aurel athanasescu, jeny metaxa-doro, nicolae soreanu, vasile toneanu, aristita romanescu, elvire popesco, m. vîrgolici, c. nedelcovici, mihail tancovici-cosmin, ion dumitrescu, gheorghe meliseanu",the movie depicts the romanian war of independence (1877-1878).,6.7,187,rol 400000,,,,3,1,"aristide demetriade, constanta demetriade, constantin","nottara, pepi machauer, aurel athanasescu, jeny metaxa-doro, nicolae soreanu, vasile toneanu, aristita romanescu, elvire popesco, m. vîrgolici, c. nedelcovici, mihail","tancovici-cosmin, ion dumitrescu, gheorghe meliseanu"
8,tt0002461,richard iii,richard iii,1912,15/10/1912,drama,55,"france, usa",english,"andré calmettes, james keane","james keane, william shakespeare",le film d'art,"robert gemp, frederick warde, albert gardner, james keane, george moss, howard stuart, virginia rankin, violet stuart, carey lee, carlotta de felice",richard of gloucester uses manipulation and murder to gain the english throne.,5.5,211,$ 30000,,,,7,1,"robert gemp, frederick warde, albert gardner, james k","eane, george moss, howard stuart, virginia rankin, violet stuart, carey lee, carlotta de felice",
9,tt0319904,le mystère des roches de kador,le mystère des roches de kador,1912,01/12/1912,"crime, drama, mystery",45,france,french,léonce perret,léonce perret,société des etablissements l. gaumont,"suzanne grandais, émile keppens, léonce perret, max dhartigny, jean aymé, louis leubas, marie dorly",the action takes place in brittany .fernand de keranic wants to latch on to his niece and ward suzanne's fortune.he tries to do away with her and her lover when she goes for a sail with ...,7,275,,,,,6,8,"suzanne grandais, émile keppens, léonce perret, m","ax dhartigny, jean aymé, louis leubas, marie dorly",
