id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y
0,tt5637736,wraith,wraith,2017,08/06/2018,"horror, mystery, thriller",99,usa,english,michael o. sajbel,michael o. sajbel,,"jackson hurst, ali hillis, lance henriksen, jensen buchanan, christopher chisholm, catherine frances, gina berceau, birdi davis, karl greene, lily hansen, owen hansen, charles kagen, dan oliver, mark a. wallenfang, gabriella lillian zoltowski",after living in an old mansion for almost 10 years a family suddenly discovers a ghost-like presence trying to communicate with them. a super-natural thriller.,3.4,442,,,,,40,3,"jackson hurst, ali hillis, lance henriksen, jensen","buchanan, christopher chisholm, catherine frances, gina berceau, birdi davis, karl greene, lily hansen, owen hansen, charles kagen, dan oliver, mark a. wallenfang, gabriella lillian zoltowski"
1,tt5638642,the ritual,the ritual,2017,13/10/2017,"horror, mystery, thriller",94,"uk, canada","english, swedish",david bruckner,"joe barton, adam nevill",entertainment one,"rafe spall, arsher ali, robert james-collier, sam troughton, paul reid, matthew needham, jacob james beswick, maria erwolter, hilary reeves, peter liddell, francesca mula, kerri mclean, gheorghe mezei, adriana macsut, constantin codrea","a group of college friends reunite for a trip to the forest, but encounter a menacing presence in the woods that's stalking them.",6.3,61903,,,$ 1569665,57,406,161,"rafe spall, arsher ali, robert james-collier, sam trou","ghton, paul reid, matthew needham, jacob james beswick, maria erwolter, hilary reeves, peter liddell, francesca mula, kerri mclean, gheorghe mezei, adriana macsut, constantin codrea"
2,tt5638952,dede,dede,2017,22/02/2018,drama,97,"georgia, croatia, uk, ireland, netherlands, qatar",georgian,mariam khatchvani,"vladimer katcharava, mariam khatchvani",20 steps productions,"george babluani, girshel chelidze, mose khachvani, nukri khachvani, natia vibliani",one woman. three men. dina can challenge the harsh traditions of the deep caucasus mountains. but will her spirit survive?,7.2,803,,,,,5,22,"george babluani, girshel chelidze, mose khachvani,","nukri khachvani, natia vibliani"
3,tt5639354,una mujer fantástica,una mujer fantástica,2017,02/03/2018,drama,104,"chile, germany, spain, usa","spanish, chinese",sebastián lelio,"sebastián lelio, gonzalo maza",participant,"daniela vega, francisco reyes, luis gnecco, aline küppenheim, nicolás saavedra, amparo noguera, trinidad gonzález, néstor cantillana, alejandro goic, antonia zegers, sergio hernández, roberto farías, cristián chaparro, diana cassis, eduardo paxeco","marina, a transgender woman who works as a waitress and moonlights as a nightclub singer, is bowled over by the death of her older boyfriend.",7.2,19367,,$ 2020988,$ 3702353,86,63,214,"daniela vega, francisco reyes, luis gnecco, aline küp","penheim, nicolás saavedra, amparo noguera, trinidad gonzález, néstor cantillana, alejandro goic, antonia zegers, sergio hernández, roberto farías, cristián chaparro, diana cassis, eduardo paxeco"
4,tt5639410,bnb hell,bnb hell,2017,15/06/2017,"horror, thriller",83,usa,english,"andrew jordan, andrew jordan",andrea harrison,lawrenceadisafilms,"kimberly woods, carol stanzione, rudy dobrev, timothy lee depriest, shayla famouri, stefanie maxwell, olivia stiefel, jessica graham, orion servine, tallie l. brinson, victor turpin, john stevenson, mark hanau",a young woman's hunt for her missing sister ends at a rundown bed and breakfast in the hollywood hills run by an ill-tempered woman called mommy. disturbing messages left by former guests suggest unsettling secrets lay buried there.,5.5,429,,,,,3,7,"kimberly woods, carol stanzione, rudy dobrev, timoth","y lee depriest, shayla famouri, stefanie maxwell, olivia stiefel, jessica graham, orion servine, tallie l. brinson, victor turpin, john stevenson, mark hanau"
5,tt5641246,just say goodbye,just say goodbye,2017,10/05/2019,drama,106,usa,english,matt walting,layla o'shea,walting entertainment,"katerina eichenberger, max mackenzie, william galatis, jesse walters, pamela jayne morgan, olivia nossiff, kk fuller, richard wingert, aidan laliberte, joseph colangelo, laurie como o'shea, anthony gabrielle, eugene o'shea, lauryn winiarski, charlotte cusmano zanolli","sarah slashes down the days to her summer vacation trip with all the gusto of zorro and his infamous 'z', until she discovers her best friend's plot to end his life while she's away.",6.6,143,,,,39,16,16,"katerina eichenberger, max mackenzie, william galat","is, jesse walters, pamela jayne morgan, olivia nossiff, kk fuller, richard wingert, aidan laliberte, joseph colangelo, laurie como o'shea, anthony gabrielle, eugene o'shea, lauryn winiarski, charlotte cusmano zanolli"
6,tt5641542,gnaw,gnaw,2017,16/09/2017,horror,97,"spain, usa",english,haylar garcia,"jim brennan, haylar garcia",unreal media,"penelope mitchell, kyle gass, chris johnson, sally kirkland, graham emmons, susan bellone, erin graham, elisa vasquez, daniel rossano, han soto, aaron burns, kathryn gould, dan davidson, nelson goforth, kristin keating","jennifer conrad is a small-town girl starting over in the big city. fleeing an abusive relationship, all she wants is a chance to begin again. but it is hard to start over when something is...",5.2,1031,,,,,31,10,"penelope mitchell, kyle gass, chris johnson, sally","kirkland, graham emmons, susan bellone, erin graham, elisa vasquez, daniel rossano, han soto, aaron burns, kathryn gould, dan davidson, nelson goforth, kristin keating"
7,tt5641832,kojot,kojot,2017,16/02/2017,"action, drama",126,hungary,hungarian,márk kostyál,"balázs lengyel, balázs lovas",megafilm,"andrás mészáros, mária dobra, lászló mátray, lehel salat, gabi szabó, frigyes kovács, attila bocsárszky, levente orbán, lili monori, gyula kovács, györgy vass, viktor noé, károly kozma, tibor mertz, kovács zsuzsanna","muggy heat, small-town bleakness, unspoken social problems, hierarchy fights. this is tuzko town, somewhere in hungary, nowadays. here comes misi who inherits his grandfather's house and ...",7.4,1487,huf 440000000,,$ 13453,,5,3,"andrás mészáros, mária dobra, lászló mátray, lehel sal","at, gabi szabó, frigyes kovács, attila bocsárszky, levente orbán, lili monori, gyula kovács, györgy vass, viktor noé, károly kozma, tibor mertz, kovács zsuzsanna"
8,tt5642124,l'amant d'un jour,l'amant d'un jour,2017,31/05/2017,drama,76,france,french,philippe garrel,"jean-claude carrière, caroline deruas-garrel",sbs productions,"éric caravaca, esther garrel, louise chevillotte, paul toucang, félix kysyl, raphaël naasz, nicolas bridet, marie sergeant, michel charrel, justine bachelet, christian bouillette, laetitia spigarelli, manon chircen, maïa foucault, louise guillaume",a young woman returns home after the breakdown of a relationship to discover her father is dating a woman her age.,6.8,1630,eur 2,,$ 383872,69,6,43,"éric caravaca, esther garrel, louise chevillotte, paul","toucang, félix kysyl, raphaël naasz, nicolas bridet, marie sergeant, michel charrel, justine bachelet, christian bouillette, laetitia spigarelli, manon chircen, maïa foucault, louise guillaume"
9,tt5643724,fat camp,fat camp,2017,17/07/2017,comedy,86,usa,english,jennifer arnold,"chuck hayward, shane dawson",fc productions,"chris redd, anabelle acosta, michael cienfuegos, mel rodriguez, vivica a. fox, juliocesar chavez, bentley green, luke clark, steven thomas capp, bre-z, brian borello, angelique cabral, tim chiou, abraham clinkscales, courtney cooper","when hutch is kicked out of the house and forced to work at his uncle's fat camp, he finds himself supervising an offbeat group of husky boys, who ultimately help him grow up.",4.6,175,,,,,4,2,"chris redd, anabelle acosta, michael cienfuegos, mel","rodriguez, vivica a. fox, juliocesar chavez, bentley green, luke clark, steven thomas capp, bre-z, brian borello, angelique cabral, tim chiou, abraham clinkscales, courtney cooper"
