id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y,
902,tt2489736,hello destroyer,hello destroyer,2016,10/09/2016,drama,110,canada,english,kevan funk,kevan funk,type one,"sara canning, ian tracey, darren mann, jared abrahamson, ben cotton, paul mcgillion, rj fetherstonhaugh, michael kopsa, nels lennarson, philip prajoux, maxwell haynes, kurt max runte, david lennon, michael st. john smith, david santana",a young hockey player deals with the consequences of hockey violence after he critically injures another player during a game.,6.3,300,,,,,5,11,"sara canning, ian tracey, darren mann, jared abrah","amson, ben cotton, paul mcgillion, rj fetherstonhaugh, michael kopsa, nels lennarson, philip prajoux, maxwell haynes, kurt max runte, david lennon, michael st. john smith, david santan",a
903,tt2495980,é fada!,é fada!,2016,06/10/2016,"comedy, family, fantasy",86,brazil,portuguese,cris d'amato,"daniel filho, fernando ceylão",globo filmes,"kéfera buchmann, klara castanho, silvio guindane, mariana santos, bruna griphao, isabella moreira, clara tiezzi, júnior vieira, carla daniel, joão fernandes, christian monassa, thalita carauta, karolina albertassi, ignacio aldunate, paulo bellei",geraldine is a fairy who lost their wings by using unconventional methods in their missions. his last chance to retrieve them will be the mission "julia".,1.8,2558,,,$ 6186539,,5,3,"kéfera buchmann, klara castanho, silvio guindane,","mariana santos, bruna griphao, isabella moreira, clara tiezzi, júnior vieira, carla daniel, joão fernandes, christian monassa, thalita carauta, karolina albertassi, ignacio aldunate, paulo bellei",
904,tt2496758,knielen op een bed violen,knielen op een bed violen,2016,25/02/2016,drama,112,"netherlands, belgium",dutch,ben sombogaart,"hugo heinen, hugo heinen",nl film,"gaite jansen, barry atsma, noortje herlaar, nils verkooijen, marcel hensema, manou kersting, karlijn sileghem, peter bolhuis, willem voogd, bert luppes, teun stokkel, mike reus, ruben de goede, reinier bulder, johan hobo","the film tells the love story between hans (barry atsma) and margje (noortje herlaar) - sweethearts since school. hans grows up in a strict religious environment, with a brutal father. he ...",5.8,519,,,$ 1941580,,2,4,"gaite jansen, barry atsma, noortje herlaar, nils verk","ooijen, marcel hensema, manou kersting, karlijn sileghem, peter bolhuis, willem voogd, bert luppes, teun stokkel, mike reus, ruben de goede, reinier bulder, johan hobo",
905,tt2513074,billy lynn's long halftime walk,billy lynn's long halftime walk,2016,10/02/2017,"action, drama, sport",113,"uk, china, usa",english,ang lee,"ben fountain, jean-christophe castelli",bona film group,"joe alwyn, garrett hedlund, arturo castro, mason lee, astro, beau knapp, ismael cruz cordova, barney harris, vin diesel, steve martin, chris tucker, kristen stewart, makenzie leigh, ben platt, bruce mckinnon","19-year-old billy lynn is brought home for a victory tour after a harrowing iraq battle. through flashbacks, the film shows what really happened to his squad - contrasting the realities of war with america's perceptions.",6.2,19667,$ 40000000,$ 1738477,$ 30930984,53,103,177,"joe alwyn, garrett hedlund, arturo castro, mason lee",", astro, beau knapp, ismael cruz cordova, barney harris, vin diesel, steve martin, chris tucker, kristen stewart, makenzie leigh, ben platt, bruce mckinnon",
906,tt2515456,destined,destined,2016,2017,"drama, fantasy",95,usa,english,qasim basir,"qasim basir, qasim basir",confluential films,"jason dohring, jesse metcalfe, zulay henao, la la anthony, robert christopher riley, hill harper, cory hardrict, james mccaffrey, margot bingham, mo mcrae, paula devicq, curtiss cook, david bianchi, terri partyka, ricky wayne",destined tells the parallel stories of sheed and rasheed the same actor played by (cory hardrict) as they explore the idea of destiny as well as how the smallest incident can manifest itself into a life changing event.,4.8,122,,,,,,7,"jason dohring, jesse metcalfe, zulay henao, la la an","thony, robert christopher riley, hill harper, cory hardrict, james mccaffrey, margot bingham, mo mcrae, paula devicq, curtiss cook, david bianchi, terri partyka, ricky wayne",
907,tt2516326,erasing eden,erasing eden,2016,15/10/2016,drama,90,usa,english,beth dewey,"beth dewey, justo diaz",film entity,"breeda wool, ben rovner, jess adams, e. shepherd stevenson, suanne spoke, germaine de leon, carl bressler, mickey river, jerrad machado, jeneta st. clair, david carrera, ben fritz, joanne busch, sherri perry, aries sanders",a young woman sabotages her own wedding in order to reclaim her identity and obliterates her life in the process.,5.1,344,,,,,25,3,"breeda wool, ben rovner, jess adams, e. shepherd st","evenson, suanne spoke, germaine de leon, carl bressler, mickey river, jerrad machado, jeneta st. clair, david carrera, ben fritz, joanne busch, sherri perry, aries sanders",
908,tt2516720,susie q,susie q,2016,28/04/2016,"crime, drama",75,usa,english,vilan trub,"vilan trub, vilan trub",vitelloni productions,"antonio robles, ausar a. english, olga elliot, alan bendich, klara bercary, demetria dee, margarita dominguez, joe hunt, joe hunt, jamie keohane, ken kushner, oscar marin, g. paul salvetti, tiffany samaroo, ruslan verkhovsky",two down-and-out brothers spend their days fighting over the attention of a neighborhood bad girl while plotting how to rob her.,7.6,122,,,,,1,,"antonio robles, ausar a. english, olga elliot, alan b","endich, klara bercary, demetria dee, margarita dominguez, joe hunt, joe hunt, jamie keohane, ken kushner, oscar marin, g. paul salvetti, tiffany samaroo, ruslan verkhovsky",
909,tt2516966,1974: la posesión de altair,1974: la posesión de altair,2016,07/04/2017,"horror, mystery, sci-fi",82,mexico,spanish,victor dryere,victor dryere,nemesis,"diana bovio, rolando breme, guillermo callahan, blanca alarcón, rubén gonzález garza, oliverio gareli, roberto absalón, ana virginia banda, carlos barber, jesús oswaldo castro, alberto chávez, odyn cortez, josé roberto cáceres, alejandro deli, carlos aguirre dryere","a newlywed couple disappeared in 1974, their 8mm tapes reveal one of the most horrifying events in mexican history.",5.5,344,,,$ 200362,,4,12,"diana bovio, rolando breme, guillermo callahan, bl","anca alarcón, rubén gonzález garza, oliverio gareli, roberto absalón, ana virginia banda, carlos barber, jesús oswaldo castro, alberto chávez, odyn cortez, josé roberto cáceres, alejandro deli, carlos aguir",re dryere
910,tt2523426,ditch,ditch,2016,2016,"horror, thriller",77,usa,english,joe hendrick,"daniel p. coughlin, ryan coughlin",water tree media,"bill oberst jr., katy foley, zach silverman, morgan benoit, lynn lowry, gregory depetro, suzanne gutierrez, kyle morris, pandie suicide, gabriel de santiago, samantha dawn, brad potts, tara gerard, joe hendrick, ronald j. burkard","jenny bilson, a high school senior, is the perfect student, a wonderful daughter to a veteran police detective and an all american dream. but the one mistake she is unaware of making is ...",3.4,269,,,,,6,10,"bill oberst jr., katy foley, zach silverman, morgan b","enoit, lynn lowry, gregory depetro, suzanne gutierrez, kyle morris, pandie suicide, gabriel de santiago, samantha dawn, brad potts, tara gerard, joe hendrick, ronald j. burkard",
911,tt2535394,medal of victory,medal of victory,2016,2016,"action, adventure, comedy",89,usa,english,joshua moise,joshua moise,warehouse district productions,"richard riehle, cliff chamberlain, gary houston, a.m. lukas, jack o'connell, audrey francis, howie johnson, will blomker, elise mayfield, andy cameron, rich komenich, sadie rogers, bryan kelly, frank simms, seth lind","when two soldiers on the run are mistaken for war heroes and dragged into the corrupt politics of a small town, murder and mayhem follow not far behind them.",4.1,162,,,,,8,7,"richard riehle, cliff chamberlain, gary houston, a.","m. lukas, jack o'connell, audrey francis, howie johnson, will blomker, elise mayfield, andy cameron, rich komenich, sadie rogers, bryan kelly, frank simms, seth lind",
