id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y
0,tt0119901,place vendôme,place vendôme,1998,07/10/1998,"crime, drama",117,france,"french, english",nicole garcia,"jacques fieschi, nicole garcia",les films alain sarde,"catherine deneuve, jean-pierre bacri, emmanuelle seigner, jacques dutronc, bernard fresson, françois berléand, dragan nikolic, otto tausig, lászló szabó, élisabeth commelin, philippe clévenot, malik zidi, eric ruf, nidal al-askhar, larry lamb","realising a dishonest deal has been found out a diamond merchant commits suicide, leaving the gems in question for his wife. knowing the business from the time before drink largely took ...",6.4,1903,,$ 895788,$ 895788,74,17,37,"catherine deneuve, jean-pierre bacri, emmanuelle","seigner, jacques dutronc, bernard fresson, françois berléand, dragan nikolic, otto tausig, lászló szabó, élisabeth commelin, philippe clévenot, malik zidi, eric ruf, nidal al-askhar, larry lamb"
1,tt0119905,the players club,the players club,1998,08/04/1998,"comedy, drama",104,usa,english,ice cube,ice cube,new line cinema,"lisaraye mccoy, dick anthony williams, judyann elder, chrystale wilson, adele givens, bernie mac, anthony johnson, jimmy woodard, montae russell, oren williams, monica calhoun, jossie thacker, lalanya masters, ursula y. houston, annie o'donnell",a woman must contend with rival strippers and her boss in an attempt to make a legitimate living.,5.8,5932,$ 4500000,$ 23047939,$ 23261485,,27,22,"lisaraye mccoy, dick anthony williams, judyann elde","r, chrystale wilson, adele givens, bernie mac, anthony johnson, jimmy woodard, montae russell, oren williams, monica calhoun, jossie thacker, lalanya masters, ursula y. houston, annie o'donnell"
2,tt0119910,polish wedding,polish wedding,1998,17/07/1998,"comedy, drama, romance",105,usa,english,theresa connelly,theresa connelly,addis wechsler pictures,"claire danes, jon bradford, lena olin, ramsey krull, gabriel byrne, daniel lapaine, rachel morrin, rebecca morrin, mili avital, steven petrarca, brian hoyt, christina romana lypeckyj, peter carey, rade serbedzija, ryan spahn","the film centers on a big polish family. jadzia is the mother and the ruler of the pzoniak family (she has five children). though she's happily married to bolek, she is also having a ...",5.6,2996,,$ 692588,$ 692588,,69,27,"claire danes, jon bradford, lena olin, ramsey krull,","gabriel byrne, daniel lapaine, rachel morrin, rebecca morrin, mili avital, steven petrarca, brian hoyt, christina romana lypeckyj, peter carey, rade serbedzija, ryan spahn"
3,tt0119930,prague duet,prague duet,1998,06/03/2000,"drama, romance",95,"usa, czech republic, germany",english,roger l. simon,"sheryl longin, roger l. simon",balzer international films (bif) ltd.,"gina gershon, rade serbedzija, patricia hodge, otakar brousek, gordon lovitt, stuart milligan, jan nemejovský, václav knop, pavel vangeli, emma cerná, patrik ziga, david nykl, maureen griffin, deborah michaels, richard toth","dr. lauren is staying in prague for a conference and falls in love with czech writer jiri kolmar. however, she learns some awful secrets about jiri's family during the nazi occupation and the concentration camps.",6.2,345,,,,,11,5,"gina gershon, rade serbedzija, patricia hodge, otakar","brousek, gordon lovitt, stuart milligan, jan nemejovský, václav knop, pavel vangeli, emma cerná, patrik ziga, david nykl, maureen griffin, deborah michaels, richard toth"
4,tt0119931,standoff,standoff,1998,12/01/1998,"mystery, thriller",91,usa,english,andrew chapman,andrew chapman,,"robert sean leonard, dennis haysbert, natasha henstridge, keith carradine, paul scherrer, tricia vessey, paul ben-victor, andre g. ellingson, david hart, michael o'neill",fbi and the texas police make ready to storm the headquarters of a sect heavily armed religious fanatics. but the operation goes terribly wrong and a couple of feds seeks protection at an ...,5.1,373,,,,,3,,"robert sean leonard, dennis haysbert, natasha hen","stridge, keith carradine, paul scherrer, tricia vessey, paul ben-victor, andre g. ellingson, david hart, michael o'neill"
5,tt0119934,without limits,without limits,1998,11/09/1998,"biography, drama, sport",117,usa,"english, finnish, german",robert towne,"robert towne, kenny moore",cruise/wagner productions,"billy crudup, donald sutherland, monica potter, jeremy sisto, matthew lillard, dean norris, billy burke, gabriel olds, judith ivey, william mapother, adam setliff, nicholas r. oleson, amy jo johnson, lisa banes, frank shorter",the life of renowned runner steve prefontaine and his relationship with legendary coach bill bowerman.,7.2,6358,$ 25000000,$ 777423,$ 777423,,61,27,"billy crudup, donald sutherland, monica potter, j","eremy sisto, matthew lillard, dean norris, billy burke, gabriel olds, judith ivey, william mapother, adam setliff, nicholas r. oleson, amy jo johnson, lisa banes, frank shorter"
6,tt0119942,primary colors,primary colors,1998,30/10/1998,"comedy, drama",143,"uk, france, germany, japan, usa",english,mike nichols,"joe klein, elaine may",award entertainment,"john travolta, emma thompson, billy bob thornton, kathy bates, adrian lester, maura tierney, larry hagman, diane ladd, paul guilfoyle, rebecca walker, caroline aaron, tommy hollis, rob reiner, ben jones, j.c. quinn",a man joins the political campaign of a smooth-operator candidate for president of the usa.,6.6,26389,$ 65000000,$ 39001187,$ 52090187,70,156,130,"john travolta, emma thompson, billy bob thornto","n, kathy bates, adrian lester, maura tierney, larry hagman, diane ladd, paul guilfoyle, rebecca walker, caroline aaron, tommy hollis, rob reiner, ben jones, j.c. quinn"
7,tt0119986,reach the rock,reach the rock,1998,16/10/1998,"comedy, drama",100,usa,english,bill ryan,john hughes,gramercy pictures (i),"william sadler, alessandro nivola, bruce norris, karen sillas, brooke langton, richard hamilton, norman reedus","two school kids, who are best friends, are drinking on the side of a river. one friend bets the other that he can't swim across the river and ""reach the rock"". the friend takes the bet and ...",6.8,782,,$ 4960,$ 4960,,17,9,"william sadler, alessandro nivola, bruce norris, kare","n sillas, brooke langton, richard hamilton, norman reedus"
8,tt0119988,caught up,caught up,1998,27/02/1998,"crime, drama, thriller",97,usa,english,darin scott,darin scott,heller highwater productions,"bokeem woodbine, damon saleem, cynda williams, jeffrey combs, shedric hunter jr., tony todd, joseph granda, clifton powell, jeris poindexter, snoop dogg, doug kruse, darin scott, marques johnson, jerry boyd, michael clarke duncan","she caught his eye. he was caught off guard. now daryl allen is caught in the line of fire. after six years behind bars, a reformed street hood(bokeem woodbine) puts down his gun and ...",5.4,823,,$ 6754958,$ 6754958,,16,6,"bokeem woodbine, damon saleem, cynda williams, je","ffrey combs, shedric hunter jr., tony todd, joseph granda, clifton powell, jeris poindexter, snoop dogg, doug kruse, darin scott, marques johnson, jerry boyd, michael clarke duncan"
9,tt0119989,shadow of doubt,shadow of doubt,1998,09/04/1998,"mystery, thriller",103,usa,english,randal kleiser,"myra byanka, raymond de felitta",largo entertainment,"melanie griffith, tom berenger, craig sheffer, huey lewis, wade dominguez, james morrison, lisa pelikan, nina foch, tony plana, victor love, richard portnow, kimberley kates, danielle nicolet, james karen, greg callahan","after the daughter of a prominent businessman is brutally murdered, high profile defense attorney kitt devereux takes the case of the accused murderer, rising rapper bobby medina. with a ...",5.2,1581,$ 12000000,,,,21,6,"melanie griffith, tom berenger, craig sheffer, huey","lewis, wade dominguez, james morrison, lisa pelikan, nina foch, tony plana, victor love, richard portnow, kimberley kates, danielle nicolet, james karen, greg callahan"
10,tt0120008,the replacement killers,the replacement killers,1998,05/06/1998,"action, crime, thriller",87,usa,"english, cantonese",antoine fuqua,ken sanzel,columbia pictures,"yun-fat chow, mira sorvino, michael rooker, kenneth tsang, jürgen prochnow, til schweiger, danny trejo, clifton collins jr., carlos gómez, frank medrano, leo lee, patrick kilpatrick, randall duk kim, andrew j. marton, sydney coberly","a troubled hitman seeks aid from a forger to help him get papers to china. however, the drug lord has hired replacements to finish the job, and kill the hitman.",6.2,25893,$ 30000000,$ 19204929,$ 19204929,42,172,105,"yun-fat chow, mira sorvino, michael rooker, kennet","h tsang, jürgen prochnow, til schweiger, danny trejo, clifton collins jr., carlos gómez, frank medrano, leo lee, patrick kilpatrick, randall duk kim, andrew j. marton, sydney coberly"
11,tt0120013,the revengers' comedies,the revengers' comedies,1998,13/01/1999,"comedy, romance",86,"uk, france, usa",english,malcolm mowbray,"alan ayckbourn, malcolm mowbray",artisan films,"sam neill, helena bonham carter, kristin scott thomas, rupert graves, martin clunes, steve coogan, john wood, liz smith, anita dobson, charlotte coleman, adrian scarborough, sandra reinton, zoe hilson, jamie o'brien, françois domange","henry is about to jump off a bridge when he hears a cry for help. he helps karen, who had also planned suicide. they're both on tower bridge, london, because somebody wronged them. revenging each other gives them a reason to live.",6.2,1563,,,,,18,9,"sam neill, helena bonham carter, kristin scott tho","mas, rupert graves, martin clunes, steve coogan, john wood, liz smith, anita dobson, charlotte coleman, adrian scarborough, sandra reinton, zoe hilson, jamie o'brien, françois domange"
12,tt0120026,finding graceland,finding graceland,1998,28/07/1999,"biography, drama",97,usa,english,david winkler,"jason horwitch, david winkler",avenue pictures,"harvey keitel, johnathon schaech, bridget fonda, gretchen mol, john aylward, susan traylor, tammy isbell, peggy gormley, trae thomas, david stewart, ken schatz, gene kirkwood, george klein, joe stronski, peter demaio",an eccentric drifter claiming to be elvis presley hitches a ride with a young man and they find themselves on an adventurous road trip to memphis.,6.4,1817,$ 10000000,,,,44,10,"harvey keitel, johnathon schaech, bridget fonda, gr","etchen mol, john aylward, susan traylor, tammy isbell, peggy gormley, trae thomas, david stewart, ken schatz, gene kirkwood, george klein, joe stronski, peter demaio"
13,tt0120039,rough draft,rough draft,1998,18/05/1998,"horror, thriller",95,usa,english,joshua wallace,jennifer badham,goldbar international,"gary busey, arnold vosloo, michael madsen, julia campbell, reno wilson, david michaels, marcy kaplan, patricia skeriotis, jazzmun, erica yohn, william frankfather, brien blakely, jeff n. strong, mario roberts, alexander keith","a struggling freelance writer, while investigating the transvestite night life, stumbles across a serial killer in action. the two then strike up a bizarre partnership to document the ...",3.5,580,,,,,16,1,"gary busey, arnold vosloo, michael madsen, julia cam","pbell, reno wilson, david michaels, marcy kaplan, patricia skeriotis, jazzmun, erica yohn, william frankfather, brien blakely, jeff n. strong, mario roberts, alexander keith"
14,tt0120044,rusty: a dog's tale,rusty: a dog's tale,1998,22/09/1998,"adventure, comedy, family",90,usa,english,shuki levy,"shell danielson, shuki levy",saban entertainment,"hal holbrook, rue mcclanahan, laraine newman, charles fleischer, blake foster, danielle keaton, beau billingslea, michael j. pagan, rodney dangerfield, bobcat goldthwait, doug e. doug, suzanne somers, patrick duffy, matthew lawrence, vincent schiavelli",two orphans named jory and tess. their cousins bart and bertha try to take them away from their grandparents because the two children have trust funds from their dead parents. when bart and...,4.9,212,,,,,1,2,"hal holbrook, rue mcclanahan, laraine newman, c","harles fleischer, blake foster, danielle keaton, beau billingslea, michael j. pagan, rodney dangerfield, bobcat goldthwait, doug e. doug, suzanne somers, patrick duffy, matthew lawrence, vincent schiavelli"
15,tt0120051,safe house,safe house,1998,24/01/1999,"drama, thriller",112,usa,english,eric steven stahl,"eric steven stahl, john schalter",benjamin productions,"patrick stewart, kimberly williams-paisley, hector elizondo, joy kilpatrick, craig shoemaker, james harlow, richard livingston, julia vera, brenda james, robert lee barry, scott zacky, wayne demaline, hank garrett","a psychological thriller. mace sowell, an ex-intelligence operative whose past government activities catches up with him, faces his own mortality, in the shape of the on-set of alzheimer's ...",7,2286,,,,,44,7,"patrick stewart, kimberly williams-paisley, hector e","lizondo, joy kilpatrick, craig shoemaker, james harlow, richard livingston, julia vera, brenda james, robert lee barry, scott zacky, wayne demaline, hank garrett"
16,tt0120064,sapatos pretos,sapatos pretos,1998,10/04/1998,"crime, drama, thriller",95,"portugal, france",portuguese,joão canijo,"joão canijo, pierre hodgson",gemini films,"ana bustorff, vítor norte, joão reis, teresa madruga, adriano luz, márcia breia, fernando luís, josé raposo, orlando costa, francisco nascimento, ivo vieira, teresa negrão, luís césar, julieta santos, filipa figueiredo","in today's alentejo, a story of love and death based in a real criminal case.",5.7,211,,,,,2,1,"ana bustorff, vítor norte, joão reis, teresa madruga,","adriano luz, márcia breia, fernando luís, josé raposo, orlando costa, francisco nascimento, ivo vieira, teresa negrão, luís césar, julieta santos, filipa figueiredo"
17,tt0120070,savior,savior,1998,20/11/1998,"drama, war",103,usa,"english, serbian, french",predrag antonijevic,robert orr,initial entertainment group (ieg),"nastassja kinski, pascal rollin, catlin foster, dennis quaid, stellan skarsgård, john maclaren, irfan mensur, sergej trifunovic, kosta andrejevic, ljiljana krstic, sanja zogovic, veljko otasevic, marina bukvicki, dusan perkovic, natasa ninkovic",a hardened mercenary in the foreign legion begins to find his own humanity when confronted with atrocities during the fighting in bosnia.,7.3,9829,$ 10000000,$ 14328,$ 14328,,124,20,"nastassja kinski, pascal rollin, catlin foster, denni","s quaid, stellan skarsgård, john maclaren, irfan mensur, sergej trifunovic, kosta andrejevic, ljiljana krstic, sanja zogovic, veljko otasevic, marina bukvicki, dusan perkovic, natasa ninkovic"
18,tt0120072,the scarlet tunic,the scarlet tunic,1998,12/06/1998,"drama, history, romance",88,uk,english,stuart st. paul,"colin clements, thomas hardy",scarlet films,"jean-marc barr, emma fielding, simon callow, jack shepherd, john sessions, lynda bellingham, thomas lockyer, andrew tiernan, gareth hale, lisa faulkner, roger may, laura aikman, erich redman, jean heard, tom mccabe","the spectacular scenery of wessex and the dorset coast provides the backdrop for this adaptation of a thomas hardy short story. set in nineteenth century rural england, this is the story of...",5.9,145,,,,,6,3,"jean-marc barr, emma fielding, simon callow, jack s","hepherd, john sessions, lynda bellingham, thomas lockyer, andrew tiernan, gareth hale, lisa faulkner, roger may, laura aikman, erich redman, jean heard, tom mccabe"
19,tt0120080,scorpio one,scorpio one,1998,20/01/1998,sci-fi,92,usa,english,worth keeter,steve latshaw,artisan entertainment,"robert carradine, jeff speakman, robin curtis, steve kanaly, george murdock, judith chapman, brent huff, lance legault, michael monks, richard whiten, joe garcia, christian zimmerman, lou voiler, timothy dale agee, albert garcia","a disaster on space station scorpio one leaves all the crewmembers dead. the cia sends one of its crack agents, jared stone into space with a team five elite rangers to investigate.",3.6,294,,,,,6,7,"robert carradine, jeff speakman, robin curtis, steve","kanaly, george murdock, judith chapman, brent huff, lance legault, michael monks, richard whiten, joe garcia, christian zimmerman, lou voiler, timothy dale agee, albert garcia"
20,tt0120088,wicked,wicked,1998,17/01/1998,thriller,88,usa,english,michael steinberg,eric weiss,flipped out productions,"louise myrback, julia stiles, chelsea field, william r. moses, vanessa zima, patrick muldoon, casey rion, linda hart, patrick mctavish, connie blankenship, venessa verdugo, michael parks, kyle sabihy, sterling macer jr., beano","14-year-old ellie christianson wants to make her father ben her love partner. and when her mother karen turns up dead, ellie has a good opportunity.",5.2,2789,$ 4000000,,,,40,23,"louise myrback, julia stiles, chelsea field, william","r. moses, vanessa zima, patrick muldoon, casey rion, linda hart, patrick mctavish, connie blankenship, venessa verdugo, michael parks, kyle sabihy, sterling macer jr., beano"
21,tt0120108,the proposition,the proposition,1998,27/03/1998,"drama, romance",110,usa,english,lesli linka glatter,rick ramage,interscope communications,"robert loggia, bronia wheeler, kenneth branagh, madeleine stowe, william hurt, ken cheeseman, jim chiros, dee nelson, pamela hart, wendy feign, blythe danner, dossy peabody, neil patrick harris, thomas downey, tom kemp","father michael mckinnon goes from the u.k. to boston circa 1935. for unknown reasons, he avoids at all costs the most prominent parishioners, arthur and eleanor barret. meanwhile, eleanor ...",6.2,2007,,$ 147773,$ 147773,,41,16,"robert loggia, bronia wheeler, kenneth branagh, m","adeleine stowe, william hurt, ken cheeseman, jim chiros, dee nelson, pamela hart, wendy feign, blythe danner, dossy peabody, neil patrick harris, thomas downey, tom kemp"
22,tt0120113,2by4,2by4,1998,16/01/1998,"drama, romance",90,usa,english,jimmy smallhorne,"terry mcgoff, jimmy smallhorne",electric head,"jimmy smallhorne, chris o'neill, bradley fitts, holyoke joe, terry mcgoff, michael liebmann, ronan carr, leo hamill, seamus mcdonagh, kimberly topper, conor foran, james hanrahan, marian quinn, carmel o'brien, john mcdonough","johnnie feels a lot of pressure lately. he's the foreman on his uncle's construction crew, and money seems to be going astray. his girlfriend begins pressuring him for more of a commitment ...",5.1,241,,$ 17162,$ 17162,,5,7,"jimmy smallhorne, chris o'neill, bradley fitts, hol","yoke joe, terry mcgoff, michael liebmann, ronan carr, leo hamill, seamus mcdonagh, kimberly topper, conor foran, james hanrahan, marian quinn, carmel o'brien, john mcdonough"
23,tt0120114,shelter,shelter,1998,16/01/1998,"action, thriller",92,usa,english,scott paulin,max strom,,"john allen nelson, brenda bakke, peter onorati, costas mandylor, charles durning, linden ashby, kurtwood smith, george russo, stefanos miltsakakis, greg allan martin, peter barre, nikki nichols, jeff mcgrail, janie paris, anna karin",a us treasury agent finds himself in opposition with his fellow agents who are involved in gun running. this puts him on the run and into the hands of a greek mafia chief whom he saves from...,5.5,178,,,,,3,,"john allen nelson, brenda bakke, peter onorati, co","stas mandylor, charles durning, linden ashby, kurtwood smith, george russo, stefanos miltsakakis, greg allan martin, peter barre, nikki nichols, jeff mcgrail, janie paris, anna karin"
24,tt0120125,sibirskiy tsiryulnik,sibirskiy tsiryulnik,1998,20/02/1999,"comedy, drama, history",180,"russia, france, italy, czech republic","russian, english, french, german",nikita mikhalkov,"nikita mikhalkov, rustam ibragimbekov",studio trite,"julia ormond, oleg menshikov, aleksey petrenko, richard harris, vladimir ilin, marat basharov, nikita tatarenkov, georgiy dronov, artyom mikhalkov, daniel olbrychski, marina neyolova, avangard leontev, anna mikhalkova, robert hardy, elizabeth spriggs","at the turn of the century, a young russian cadet falls in love with an american beauty, endangering his career and even their lives.",7.8,10882,$ 35000000,,$ 2634218,,76,8,"julia ormond, oleg menshikov, aleksey petrenko, rich","ard harris, vladimir ilin, marat basharov, nikita tatarenkov, georgiy dronov, artyom mikhalkov, daniel olbrychski, marina neyolova, avangard leontev, anna mikhalkova, robert hardy, elizabeth spriggs"
25,tt0120127,side streets,side streets,1998,25/04/1999,comedy,131,usa,english,tony gerber,"tony gerber, lynn nottage",c.e.o. films,"valeria golino, rosario dawson, shabana azmi, jennifer esposito, shashi kapoor, miho nikaido, david vadim, art malik, leon, joanna adler, peter appel, victor argo, marie barrientos, kalimi baxter, gregg bello","staten island cab-driver, bipin raj, picks up a passenger, mistakes her for a movie star, but tells her that his brother, vikram raj, is a very well-known bollywood mega-star with millions ...",5.6,212,,,,,,1,"valeria golino, rosario dawson, shabana azmi, jenni","fer esposito, shashi kapoor, miho nikaido, david vadim, art malik, leon, joanna adler, peter appel, victor argo, marie barrientos, kalimi baxter, gregg bello"
26,tt0120148,sliding doors,sliding doors,1998,01/05/1998,"comedy, drama, fantasy",99,"uk, usa",english,peter howitt,peter howitt,intermedia films,"gwyneth paltrow, john hannah, john lynch, jeanne tripplehorn, zara turner, douglas mcferran, paul brightwell, nina young, virginia mckenna, kevin mcnally, terry english, paul stacey, peter howitt, joanna roth, neil stuke","a london woman's love life and career both hinge, unknown to her, on whether or not she catches a train. we see it both ways, in parallel.",6.7,60237,$ 6000000,$ 11841544,$ 11841544,59,291,92,"gwyneth paltrow, john hannah, john lynch, jea","nne tripplehorn, zara turner, douglas mcferran, paul brightwell, nina young, virginia mckenna, kevin mcnally, terry english, paul stacey, peter howitt, joanna roth, neil stuke"
