id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,,lead_actors,y
10,tt0986213,aaja nachle,aaja nachle,2007,30/11/2007,"drama, family, music",137,india,hindi,anil mehta,"aditya chopra, jaideep sahni",yash raj films,"madhuri dixit, darshan jariwala, raghuvir yadav, divya dutta, dalai, felix d'alviella, vinod nagpal, uttara baokar, akshaye khanna, irrfan khan, akhilendra mishra, kunal kapoor, konkona sen sharma, ranvir shorey, vinay pathak",dia's dance teacher is dying. she returns to the town where she learnt to live and dance and most importantly to save the endangered ajanta theatre.,6.3,2692,,$ 484108,$ 6773493,,41,12,,"madhuri dixit, darshan jariwala, raghuvir yadav, div","ya dutta, dalai, felix d'alviella, vinod nagpal, uttara baokar, akshaye khanna, irrfan khan, akhilendra mishra, kunal kapoor, konkona sen sharma, ranvir shorey, vinay pathak"
11,tt0986225,duska,duska,2007,04/10/2007,drama,110,"netherlands, russia, belgium","dutch, russian",jos stelling,"hans heesen, jos stelling",eyeworks egmond,"sergey makovetskiy, gene bervoets, sylvia hoeks, fran beumkes, valeriy demchenko, oksana filonenko, gerrit floor, oksana gritsiak, boris haritonov, oleg ivanitsa, vladimir kuznetsov, mukola lutsenko, lyudmila monastirskaya, nakamura, ruslana pysanka",an older film critic's life is interrupted by an unexpected visitor.,6.6,599,,,$ 79835,,6,10,,"sergey makovetskiy, gene bervoets, sylvia hoeks, fran b","eumkes, valeriy demchenko, oksana filonenko, gerrit floor, oksana gritsiak, boris haritonov, oleg ivanitsa, vladimir kuznetsov, mukola lutsenko, lyudmila monastirskaya, nakamura, ruslana pysanka"
12,tt0986244,naalu pennungal,naalu pennungal,2007,02/11/2007,drama,105,india,malayalam,adoor gopalakrishnan,"adoor gopalakrishnan, thakazhy shivashankar pillai",,"geethu mohandas, nandita das, padmapriya, manju pillai, jagadish, manoj k. jayan, kavya madhavan, mukesh, murali, jagathi sreekumar, nedumudi venu, vijayaraghavan",a drama centered around four women at kuttanad in kerala's alappuzha district.,6.7,157,,,,,1,5,,"geethu mohandas, nandita das, padmapriya, manju","pillai, jagadish, manoj k. jayan, kavya madhavan, mukesh, murali, jagathi sreekumar, nedumudi venu, vijayaraghavan"
13,tt0986264,taare zameen par,taare zameen par,2007,21/12/2007,"drama, family",165,india,"hindi, english","aamir khan, amole gupte","amole gupte, amole gupte",aamir khan productions,"darsheel safary, aamir khan, tisca chopra, vipin sharma, sachet engineer, tanay chheda, lalitha lajmi, girija oak, ravi khanvilkar, pratima kulkarni, meghna malik, sonali sachdev, sanjay dadich, raaj gopal iyer, bugs bhargava","an eight-year-old boy is thought to be a lazy trouble-maker, until the new art teacher has the patience and compassion to discover the real problem behind his struggles in school.",8.4,148790,,$ 1223869,$ 21897373,,354,32,,"darsheel safary, aamir khan, tisca chopra, vipin sh","arma, sachet engineer, tanay chheda, lalitha lajmi, girija oak, ravi khanvilkar, pratima kulkarni, meghna malik, sonali sachdev, sanjay dadich, raaj gopal iyer, bugs bhargava"
14,tt0986323,ciao bella,ciao bella,2007,03/08/2007,"comedy, drama, romance",86,sweden,"swedish, english, persian, italian",mani maserrat agah,jens jonsson,film i väst,"poyan karimi, chanelle lindell, oliver wahlgren-ingrosso, mina azarian, arash bolouri, jan coster, stefano della-schiava, maria hedborg, lotta karlge, hussein kazem, krister kern, jimmy lindström, adam lundgren, ali-reza modjallal, shebly niavarani","mustafa moradi is aching to find a girlfriend. on the other end of the city, linnea is desperately searching for a guy with style, courage and a burning passion.",5.1,870,,,$ 725567,,2,6,,"poyan karimi, chanelle lindell, oliver wahlgren-in","grosso, mina azarian, arash bolouri, jan coster, stefano della-schiava, maria hedborg, lotta karlge, hussein kazem, krister kern, jimmy lindström, adam lundgren, ali-reza modjallal, shebly niavarani"
15,tt0986362,marked,marked,2007,01/03/2007,thriller,96,usa,english,dustin voigt,dustin voigt,night light films,"tara carroll, samuel child, mark colson, tony suraci, samantha alarcon, andy cline, scotty crowe, scott frazelle, brice harris, keri hill, pepper jay, nikole nelson, rafael killyan rios, john rogers, lawrence sara",a group of ghost hunters discover a powerful force that puts one of their members in great danger.,3.5,115,,,,,8,,,"tara carroll, samuel child, mark colson, tony suraci,","samantha alarcon, andy cline, scotty crowe, scott frazelle, brice harris, keri hill, pepper jay, nikole nelson, rafael killyan rios, john rogers, lawrence sara"
16,tt0987918,ironiya sudby. prodolzhenie,ironiya sudby. prodolzhenie,2007,21/12/2007,"comedy, romance",115,russia,russian,timur bekmambetov,"timur bekmambetov, emil braginskiy",bazelevs production,"konstantin khabenskiy, elizaveta boyarskaya, sergey bezrukov, andrey myagkov, aleksandr shirvindt, valentina talyzina, barbara brylska, yuriy yakovlev, aleksandr belyavskiy, mikhail efremov, evgeniya dobrovolskaya, viktor verzhbitskiy, igor savochkin, ville haapasalo, roman madyanov",the events of the new movie take place 30 years after the original one. the stars of this movie are zhenya and galya's son and nadia and ippolit's daughter. 2007,5,3152,$ 3000000,,$ 55639114,,13,7,,"konstantin khabenskiy, elizaveta boyarskaya, sergey b","ezrukov, andrey myagkov, aleksandr shirvindt, valentina talyzina, barbara brylska, yuriy yakovlev, aleksandr belyavskiy, mikhail efremov, evgeniya dobrovolskaya, viktor verzhbitskiy, igor savochkin, ville haapasalo, roman madyanov"
17,tt0988106,karlas kabale,karlas kabale,2007,09/11/2007,"comedy, drama, family",90,denmark,danish,charlotte sachs bostrup,"ina bruhn, renée simonsen",nordisk film,"elena arndt-jensen, nikolaj støvring hansen, jonathan werner juel, ellen hillingsø, nicolaj kopernikus, allan olsen, kristian halken, paw henriksen, ulla henningsen, lars knutzon, sofie stougaard, laura rihan, birgitte simonsen, søren malling, ulver skuli abildgaard","karla's parents are divorced and she lives with her mom, stepdad, brother and stepbrother. after arguments with mom, dad drinking again and no real x-mas in sight, she runs away from home. will she be back for christmas?",5.3,182,dkk 16500000,,$ 1711260,,1,3,,"elena arndt-jensen, nikolaj støvring hansen, jonat","han werner juel, ellen hillingsø, nicolaj kopernikus, allan olsen, kristian halken, paw henriksen, ulla henningsen, lars knutzon, sofie stougaard, laura rihan, birgitte simonsen, søren malling, ulver skuli abildgaard"
18,tt0988108,klass,klass,2007,16/03/2007,drama,99,estonia,estonian,ilmar raag,"ilmar raag, vallo kirs",amrion,"vallo kirs, pärt uusberg, lauri pedaja, paula solvak, mikk mägi, riina ries, joonas paas, kadi metsla, triin tenso, virgo ernits, karl sakrits, liina joonas, saara kadak, kaspar kannelmäe, brita kikas","an average guy of an estonian high-school decides to defend his bullied classmate. this starts war between him and the informal leader of the class. as teenagers' honour is a touchy thing, everything ends in bloodshed.",7.9,13660,,,$ 7205,,39,29,,"vallo kirs, pärt uusberg, lauri pedaja, paula solvak",", mikk mägi, riina ries, joonas paas, kadi metsla, triin tenso, virgo ernits, karl sakrits, liina joonas, saara kadak, kaspar kannelmäe, brita kikas"
19,tt0988982,gekijô-ban naruto shippûden,gekijô-ban naruto shippûden,2007,04/08/2007,"animation, action, adventure",94,japan,japanese,hajime kamegaki,"masashi kishimoto, junki takegami",pierrot,"junko takeuchi, chie nakamura, yôichi masukawa, kôichi tôchika, ayumi fujimura, yoshinori fujita, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kishô taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto","demons that once almost destroyed the world, are revived by someone. to prevent the world from being destroyed, the demon has to be sealed and the only one who can do it is the shrine ...",6.9,2712,,,$ 13217321,,4,6,,"junko takeuchi, chie nakamura, yôichi masukawa,","kôichi tôchika, ayumi fujimura, yoshinori fujita, daisuke kishio, fumiko orikasa, hidetoshi nakamura, tetsuya kakihara, kishô taniyama, miyuki sawashiro, katsuyuki konishi, masako katsuki, keiko nemoto"
