id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y
0,tt0065575,"cool it, carol!","cool it, carol!",1970,01/12/1970,"comedy, drama",102,uk,english,pete walker,murray smith,pete walker film productions,"robin askwith, janet lynn, jess conrad, derek aylward, kenneth hendel, stephen bradley, harry baird, peter elliott, claire gordon, richard aylen, syd conabere, alec bregonzi, douglas ridley, john dawson, pearl hackney",a naive couple leave their small town for success in london's adult entertainment culture.,5.5,273,,,,,9,10,"robin askwith, janet lynn, jess conrad, derek aylwa","rd, kenneth hendel, stephen bradley, harry baird, peter elliott, claire gordon, richard aylen, syd conabere, alec bregonzi, douglas ridley, john dawson, pearl hackney"
1,tt0065579,cotton comes to harlem,cotton comes to harlem,1970,10/09/1971,"action, comedy, crime",97,usa,english,ossie davis,"chester himes, arnold perl",formosa productions,"godfrey cambridge, raymond st. jacques, calvin lockhart, judy pace, redd foxx, emily yancy, john anderson, lou jacobi, eugene roche, j.d. cannon, mabel robinson, dick sabol, cleavon little, teddy wilson, maxwell glanville","two harlem cops investigate a robbery, believing that a reverend has staged it in order to steal the money he's collected for a local fundraiser.",6.5,1570,$ 1200000,,,,32,31,"godfrey cambridge, raymond st. jacques, calvin lockha","rt, judy pace, redd foxx, emily yancy, john anderson, lou jacobi, eugene roche, j.d. cannon, mabel robinson, dick sabol, cleavon little, teddy wilson, maxwell glanville"
2,tt0065581,country dance,country dance,1970,22/04/1970,drama,112,"uk, usa",english,j. lee thompson,"james kennaway, james kennaway",keep films,"peter o'toole, susannah york, michael craig, harry andrews, cyril cusack, judy cornwell, brian blessed, robert urquhart, mark malicz, jean anderson, lennox milne, helena gloag, marjorie dalziel, marjorie christie, rona newton-john","controversial tragicomedy about a brother's obsessive love for his sister. having left her husband, hilary moves in with her unbalanced brother, pink, who uses wit and humor to hide his amorous yearnings.",5.7,294,,,,,9,2,"peter o'toole, susannah york, michael craig, harry a","ndrews, cyril cusack, judy cornwell, brian blessed, robert urquhart, mark malicz, jean anderson, lennox milne, helena gloag, marjorie dalziel, marjorie christie, rona newton-john"
3,tt0065584,cran d'arrêt,cran d'arrêt,1970,14/01/1970,"mystery, thriller",87,"italy, france",french,yves boisset,"giorgio scerbanenco, antoine blondin",francos films,"bruno cremer, renaud verley, marianne comtell, raffaella carrà, mario adorf, jean martin, rufus, claudio gora, marina berti, jean mermet, claudine berg, roger lumont, agostina belli, vanna brosio",a doctor struck off the order for euthanasia is called by a man to help his depressed son since the suicide of his companion.,5.8,139,,,,,3,2,"bruno cremer, renaud verley, marianne comtell, raf","faella carrà, mario adorf, jean martin, rufus, claudio gora, marina berti, jean mermet, claudine berg, roger lumont, agostina belli, vanna brosio"
4,tt0065588,kureopatora,kureopatora,1970,15/09/1970,"animation, biography, comedy",112,japan,"japanese, english","osamu tezuka, eiichi yamamoto","osamu tezuka, shigemi satoyoshi",mushi productions,"chinatsu nakayama, kotoe hatsui, tsubame yanagiya, nobuo tsukamoto, kazuko imai, susumu abe, yoshiro kato, nachi nozawa, hajime hana, osami nabe, jitsuko yoshimura","in order to foil the enemy aliens' ""cleopatra plan"", three people from the future are spiritually sent back to cleopatra's time to understand the enemy intentions.",6.3,359,,,,,4,5,"chinatsu nakayama, kotoe hatsui, tsubame yanagiya",", nobuo tsukamoto, kazuko imai, susumu abe, yoshiro kato, nachi nozawa, hajime hana, osami nabe, jitsuko yoshimura"
5,tt0065591,crimes of the future,crimes of the future,1970,10/08/1984,"comedy, sci-fi",63,canada,english,david cronenberg,david cronenberg,emergent films ltd.,"ronald mlodzik, jon lidolt, tania zolty, paul mulholland, jack messinger, iain ewing, william haslam, raymond woodley, stefan czernecki, rafe macpherson, willem poolman, don owen, udo kasemets, bruce martin, brian linehan","crimes of the future details the wanderings of tripod (mlodzik), sometime director of a dermatological clinic called the house of skin, who is searching for his mentor, the mad ...",5,1491,$ 20000,,,,20,31,"ronald mlodzik, jon lidolt, tania zolty, paul mulho","lland, jack messinger, iain ewing, william haslam, raymond woodley, stefan czernecki, rafe macpherson, willem poolman, don owen, udo kasemets, bruce martin, brian linehan"
6,tt0065593,cromwell,cromwell,1970,14/08/1970,"biography, drama, history",139,"uk, usa",english,ken hughes,ken hughes,columbia pictures,"richard harris, alec guinness, robert morley, dorothy tutin, frank finlay, timothy dalton, patrick wymark, patrick magee, nigel stock, charles gray, michael jayston, richard cornish, anna cropper, michael goodliffe, jack gwillim","oliver cromwell can no longer tolerate king charles' policies, and the self-interest of the ruling class, and leads a civil war to install parliament as the ultimate ruler of england.",6.9,4479,gbp 3750000,,,,90,14,"richard harris, alec guinness, robert morley, doroth","y tutin, frank finlay, timothy dalton, patrick wymark, patrick magee, nigel stock, charles gray, michael jayston, richard cornish, anna cropper, michael goodliffe, jack gwillim"
7,tt0065596,"cry blood, apache","cry blood, apache",1970,01/09/1970,western,82,usa,english,jack starrett,"sean macgregor, harold roberts",bronco films,"jody mccrea, marie gahva, dan kemp, robert tessier, jack starrett, don henley, carolyn stellar, rik nervik, barbara sanford, carroll kemp, andy anza, joel mccrea, marcus rudnick",gang of sadistic cowboys let nothing stand in their way in their search for gold.,3.2,413,,,,,21,2,"jody mccrea, marie gahva, dan kemp, robert tessier, j","ack starrett, don henley, carolyn stellar, rik nervik, barbara sanford, carroll kemp, andy anza, joel mccrea, marcus rudnick"
8,tt0065597,cry of the banshee,cry of the banshee,1970,01/05/1971,horror,91,uk,english,gordon hessler,"tim kelly, tim kelly",american international pictures (aip),"vincent price, essy persson, hilary heath, carl rigg, stephan chase, marshall jones, andrew mcculloch, michael elphick, pamela moiseiwitsch, joyce mandre, robert hutton, guy deghy, elisabeth bergner, patrick mower, victoria fairbrother","in 1500s england, a cruel witch-hunting magistrate, who often tortures innocent villagers for his entertainment, runs afoul of a witch who conjures a banshee to kill the magistrate and his family.",5.6,1769,$ 500000,,,,42,31,"vincent price, essy persson, hilary heath, carl rigg",", stephan chase, marshall jones, andrew mcculloch, michael elphick, pamela moiseiwitsch, joyce mandre, robert hutton, guy deghy, elisabeth bergner, patrick mower, victoria fairbrother"
9,tt0065610,darker than amber,darker than amber,1970,22/10/1971,"action, drama, mystery",96,usa,english,robert clouse,"john d. macdonald, ed waters",cinema center films,"rod taylor, theodore bikel, suzy kendall, ahna capri, william smith, janet maclachlan, robert phillips, jane russell, james booth, oswaldo calvo, sherry faber, marcia knight, james h. frysinger, harry a. wood, jack nagle",professional beach bum and 'knight errant' travis mcgee goes up against psychotic body-builder terry bartell. mcgee pulls out all the stops when he joins a carribean cruise to bring the killer to justice.,6.2,378,,,,,27,10,"rod taylor, theodore bikel, suzy kendall, ahna capri,","william smith, janet maclachlan, robert phillips, jane russell, james booth, oswaldo calvo, sherry faber, marcia knight, james h. frysinger, harry a. wood, jack nagle"
10,tt0065611,darling lili,darling lili,1970,08/01/1971,"comedy, drama, musical",136,usa,"english, german",blake edwards,"blake edwards, william peter blatty",geoffrey productions,"julie andrews, rock hudson, jeremy kemp, lance percival, michael witney, gloria paul, jacques marin, andré maranne, bernard kay, doreen keogh, carl duering, vernon dobtcheff, laurie main, louis mercier, arthur gould-porter","set during world war i, this movie is a cute spin on the mata hari legend.",6.1,1838,$ 25000000,,,,51,25,"julie andrews, rock hudson, jeremy kemp, lance pe","rcival, michael witney, gloria paul, jacques marin, andré maranne, bernard kay, doreen keogh, carl duering, vernon dobtcheff, laurie main, louis mercier, arthur gould-porter"
11,tt0065614,das kann doch unsren willi nicht erschüttern,das kann doch unsren willi nicht erschüttern,1970,01/11/1970,comedy,85,west germany,german,rolf olsen,rolf olsen,allianz filmproduktion,"heinz erhardt, ruth stephan, günther jerschke, käte jaenicke, hans terofal, irina von bentheim, nicolai von bentheim, angelika baumgart, klaus hagen latwesen, almut berg, siegfried munz, giulia del fabro, rolf olsen, totò mignone, karl-heinz","two bickering neighboring families, the hirsekorns and the buntje's take separate holidays to the italian coast but still end up in the same hotel. the two men, willi and heino decide to ...",5.4,311,,,,,3,1,"heinz erhardt, ruth stephan, günther jerschke, k","äte jaenicke, hans terofal, irina von bentheim, nicolai von bentheim, angelika baumgart, klaus hagen latwesen, almut berg, siegfried munz, giulia del fabro, rolf olsen, totò mignone, karl-heinz"
12,tt0065616,a day at the beach,a day at the beach,1970,01/05/1970,"comedy, drama",93,uk,english,simon hesera,"heere heeresma, roman polanski",asa filmudlejning,"mark burns, beatie edney, fiona lewis, maurice roëves, jack macgowran, joanna dunham, peter sellers, graham stark, eva dahlbeck, lily bacberg, benny bundgaard, lise dietrich, june eelli, grith fjeldmose, john franklyn","bernie, a self-destructive alcoholic, is given watch over his niece winnie. he tests the patience of the various people he knows and winnie is often left on her own.",6.5,175,,,,,10,11,"mark burns, beatie edney, fiona lewis, maurice roë","ves, jack macgowran, joanna dunham, peter sellers, graham stark, eva dahlbeck, lily bacberg, benny bundgaard, lise dietrich, june eelli, grith fjeldmose, john franklyn"
13,tt0065620,deadlock,deadlock,1970,15/10/1970,"thriller, western",85,west germany,english,roland klick,roland klick,roland klick production,"mario adorf, anthony dawson, marquard bohm, mascha rabben, siegurd fitzek, betty segal",in a deserted mining town at the end of nowhere three desperate men fight over a suitcase full of cash.,6.8,681,dem 250000,,,,5,14,"mario adorf, anthony dawson, marquard bohm, masc","ha rabben, siegurd fitzek, betty segal"
14,tt0065632,deux femmes en or,deux femmes en or,1970,21/05/1970,comedy,106,canada,french,claude fournier,"claude fournier, marie-josé raymond",france film,"monique mercure, louise turcot, marcel sabourin, donald pilon, jean-vincent fournier, francine morand, yvon deschamps, donald lautrec, gilles latulippe, réal béland, janine sutto, paul buissonneau, jean lapointe, paul berval, georges groulx",two women living in suburban montreal find themselves having a difficult time waiting for their frequently absent husbands. they decide for fun to call as many delivery men as possible to ...,4.1,232,cad 250000,,,,6,1,"monique mercure, louise turcot, marcel sabourin,","donald pilon, jean-vincent fournier, francine morand, yvon deschamps, donald lautrec, gilles latulippe, réal béland, janine sutto, paul buissonneau, jean lapointe, paul berval, georges groulx"
15,tt0065636,diary of a mad housewife,diary of a mad housewife,1970,28/01/1972,"comedy, drama",95,usa,english,frank perry,"eleanor perry, sue kaufman",frank perry films inc.,"richard benjamin, frank langella, carrie snodgress, lorraine cullen, frannie michel, lee addoms, peter dohanos, katherine meskill, leonard elliott, valma, hilda haynes, donald symington, alley mills, alice cooper, michael bruce",a housewife with an abusive husband has an affair with a writer.,7,1205,,,,,25,13,"richard benjamin, frank langella, carrie snodgress,","lorraine cullen, frannie michel, lee addoms, peter dohanos, katherine meskill, leonard elliott, valma, hilda haynes, donald symington, alley mills, alice cooper, michael bruce"
16,tt0065640,il dio serpente,il dio serpente,1970,28/11/1970,"adventure, drama, horror",94,"italy, venezuela",italian,piero vivarelli,"piero vivarelli, piero vivarelli",filmes venezolanos,"nadia cassini, beryl cunningham, sergio tramonti, galeazzo benti, arnoldo palacios, juana sobreda, claudio trionfi, evaristo márquez","paola (nadia cassini) is in a deteriorating marriage with bernard (galeazzo bentivoglio). after the couple move to an island in the caribbean, paola befriends a local woman named stella (...",5.4,155,,,,,1,12,"nadia cassini, beryl cunningham, sergio tramonti,","galeazzo benti, arnoldo palacios, juana sobreda, claudio trionfi, evaristo márquez"
17,tt0065641,dionysus in '69,dionysus in '69,1970,22/03/1970,drama,85,usa,english,"brian de palma, richard schechner","william arrowsmith, euripides",performance group,"remi barclay, samuel blazer, jason bosseau, richard dia, william finley, joan macintosh, vicki may, patrick mcdermott, margaret ryan, william shephard, ciel smith","filmed stageplay based on the ancient greek play the bacchae written by euripides. this play is performed by members of the performance group, an nyc experimental theater group who has made...",5.3,277,,,,,4,10,"remi barclay, samuel blazer, jason bosseau, richard","dia, william finley, joan macintosh, vicki may, patrick mcdermott, margaret ryan, william shephard, ciel smith"
18,tt0065642,dirty dingus magee,dirty dingus magee,1970,09/07/1971,"comedy, romance, western",91,usa,english,burt kennedy,"david markson, tom waldman",metro-goldwyn-mayer (mgm),"frank sinatra, george kennedy, anne jackson, lois nettleton, jack elam, michele carey, john dehner, henry jones, harry carey jr., paul fix, marya thomas, terry wilson, willis bouchey, tom fadden, mina martinez","dirty dingus magee and his old rival hoke birdsill take turns at being either lawman or outlaw and being rivals or partners in crime, depending of the circumstances.",5.3,766,,,,,19,8,"frank sinatra, george kennedy, anne jackson, lois ne","ttleton, jack elam, michele carey, john dehner, henry jones, harry carey jr., paul fix, marya thomas, terry wilson, willis bouchey, tom fadden, mina martinez"
19,tt0065646,django sfida sartana,django sfida sartana,1970,03/04/1970,western,85,italy,italian,pasquale squitieri,pasquale squitieri,bcr produzioni cinematografiche,"george ardisson, tony kendall, josé torres, bernard farber, adler gray, salvatore billa, fulvio mingozzi, augusto pescarini, mirella pamphili, claudio trionfi, teodoro corrà, john alvar","framed for a bank robbery, bounty killer django's brother, steve is lynched. django hunts down sartana, steve's supposed accomplice, but finds him innocent also. the two men seek out the ...",5.3,204,,,,,10,4,"george ardisson, tony kendall, josé torres, bernard far","ber, adler gray, salvatore billa, fulvio mingozzi, augusto pescarini, mirella pamphili, claudio trionfi, teodoro corrà, john alvar"
20,tt0065648,doctor in trouble,doctor in trouble,1970,1972,comedy,90,uk,english,ralph thomas,"jack davies, richard gordon",the rank organisation,"leslie phillips, harry secombe, james robertson justice, angela scoular, irene handl, simon dee, robert morley, freddie jones, joan sims, john le mesurier, graham stark, janet mahoney, graham chapman, jacki piper, fred emney","dr. tony burke (leslie phillips) is in love with ophelia o'brien (angela scoular), but doesn't have time to propose to her as she leaves for a cruise to the mediterranean. also, on-board ...",5.4,330,,,,,5,4,"leslie phillips, harry secombe, james robertson ju","stice, angela scoular, irene handl, simon dee, robert morley, freddie jones, joan sims, john le mesurier, graham stark, janet mahoney, graham chapman, jacki piper, fred emney"
21,tt0065649,dodesukaden,dodesukaden,1970,21/01/1971,drama,140,japan,japanese,akira kurosawa,"akira kurosawa, hideo oguni",yonki-no-kai productions,"yoshitaka zushi, kin sugai, toshiyuki tonomura, shinsuke minami, yûko kusunoki, junzaburô ban, kiyoko tange, michio hino, keiji furuyama, tappei shimokawa, kunie tanaka, jitsuko yoshimura, hisashi igawa, hideko okiyama, tatsuo matsumura","various tales in the lives of tokyo slum dwellers, including a mentally deficient young man obsessed with driving his own commuter trolley.",7.5,5582,,,,,30,37,"yoshitaka zushi, kin sugai, toshiyuki tonomura, sh","insuke minami, yûko kusunoki, junzaburô ban, kiyoko tange, michio hino, keiji furuyama, tappei shimokawa, kunie tanaka, jitsuko yoshimura, hisashi igawa, hideko okiyama, tatsuo matsumura"
22,tt0065651,domicile conjugal,domicile conjugal,1970,09/09/1970,"comedy, drama",100,"france, italy",french,françois truffaut,"françois truffaut, claude de givray",les films du carrosse,"jean-pierre léaud, claude jade, hiroko berghauer, barbara laage, danièle girard, daniel ceccaldi, claire duhamel, daniel boulanger, silvana blasi, pierre maguelon, jacques jouanneau, claude véga, jacques rispal, jacques robiolles, pierre fabre","antoine doinel works dying flowers in the courtyard outside his apartment. he is married to christine, who is pregnant. he has an affair with a japanese woman, jeopardising his marriage.",7.5,7081,,$ 509,$ 509,,12,43,"jean-pierre léaud, claude jade, hiroko berghauer, b","arbara laage, danièle girard, daniel ceccaldi, claire duhamel, daniel boulanger, silvana blasi, pierre maguelon, jacques jouanneau, claude véga, jacques rispal, jacques robiolles, pierre fabre"
23,tt0065652,don erre que erre,don erre que erre,1970,21/09/1970,comedy,92,spain,spanish,josé luis sáenz de heredia,"rafael j. salvia, josé luis sáenz de heredia",hidalgo producciones cinematográficas,"paco martínez soria, mari carmen prendes, josé sacristán, josele román, tomás blanco, guillermo marín, valeriano andrés, alfonso del real, manuel alexandre, jesús guzmán, josé maría escuer, rafael hernández, alberto fernández, serafín garcía vázquez, pepe rubio","don rodrigo goes to the bank and when he is going to take his money there is a robbery. then the bank refuses to give him his money back (257 pesetas, a small amount of money) with the ...",5.3,230,,,,,,2,"paco martínez soria, mari carmen prendes, josé sacri","stán, josele román, tomás blanco, guillermo marín, valeriano andrés, alfonso del real, manuel alexandre, jesús guzmán, josé maría escuer, rafael hernández, alberto fernández, serafín garcía vázquez, pepe rubio"
