id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y
0,tt0388795,brokeback mountain,brokeback mountain,2005,13/01/2006,"drama, romance",134,"usa, canada","english, spanish",ang lee,"annie proulx, larry mcmurtry",focus features,"heath ledger, jake gyllenhaal, randy quaid, valerie planche, dave trimble, victor reyes, lachlan mackintosh, michelle williams, larry reese, marty antonini, tom carey, dan mcdougall, don bland, steven cree molison, anne hathaway","the story of a forbidden and secretive relationship between two cowboys, and their lives over the years.",7.7,305649,$ 14000000,$ 83043761,$ 178062759,87,2307,298,"heath ledger, jake gyllenhaal, randy quaid, valerie p","lanche, dave trimble, victor reyes, lachlan mackintosh, michelle williams, larry reese, marty antonini, tom carey, dan mcdougall, don bland, steven cree molison, anne hathaway"
1,tt0388837,the circle,the circle,2005,18/05/2005,"drama, mystery, thriller",103,usa,english,yuri zeltser,yuri zeltser,bergman lustig productions,"angela bettis, scott cohen, henry czerny, david proval, jill jacobson, bokeem woodbine, kamala lopez, joe unger, yury tsykun, grace cary bickley","a frantic young woman begs a stranger to help save her marked husband, not realizing that the stranger is the hit man hired to kill him. experimental digital movie shot entirely in one take and in real time.",5.6,327,,,,,11,4,"angela bettis, scott cohen, henry czerny, david prov","al, jill jacobson, bokeem woodbine, kamala lopez, joe unger, yury tsykun, grace cary bickley"
2,tt0388973,the girl from monday,the girl from monday,2005,19/07/2005,"action, comedy, sci-fi",84,usa,english,hal hartley,hal hartley,possible films,"bill sage, sabrina lloyd, tatiana abracos, leo fitzpatrick, d.j. mendel, james urbaniak, juliana francis, gary wilmes, david neumann, ryan bronz, edie falco, paul urbanski, michael cassidy, normandy sherwood, james stanley",a comic drama about a time in the near future when citizens are happy to be property traded on the stock exchange.,5.2,942,,,$ 921,45,13,25,"bill sage, sabrina lloyd, tatiana abracos, leo fitzpat","rick, d.j. mendel, james urbaniak, juliana francis, gary wilmes, david neumann, ryan bronz, edie falco, paul urbanski, michael cassidy, normandy sherwood, james stanley"
3,tt0388980,the greatest game ever played,the greatest game ever played,2005,30/09/2005,"biography, drama, history",120,"usa, canada",english,bill paxton,"mark frost, mark frost",fairway films,"james paxton, tom rack, armand laroche, peter hurley, gregory terlecki, jonathan higgins, matthew knight, luke askew, amanda tilson, elias koteas, jamie merling, eugenio esposito, marnie mcphail, stephen dillane, robin wilcock","in the 1913 us open, 20-year-old francis ouimet played golf against his idol, 1900 us open champion, englishman harry vardon.",7.4,26270,$ 26000000,$ 15337393,$ 15431177,55,117,85,"james paxton, tom rack, armand laroche, peter hurl","ey, gregory terlecki, jonathan higgins, matthew knight, luke askew, amanda tilson, elias koteas, jamie merling, eugenio esposito, marnie mcphail, stephen dillane, robin wilcock"
4,tt0389053,johnny slade's greatest hits,johnny slade's greatest hits,2005,10/08/2005,"comedy, crime, music",88,usa,english,larry blamire,"larry blamire, john fiore",johnny slade productions,"john fiore, vincent curatola, dolores sirianni, richard portnow, douglas stevens, frank santorelli, ray iannicelli, john tromboli, joseph r. gannascoli, dossy peabody, richard snee, lonnie farmer, david ian, eugene boles, ken cheeseman","down-and-out lounge singer johnny slade is hired by a mystery man to open a hot new club, the catch being he's given a new--and terrible--song to sing each night. noticing that whenever he ...",6,242,,,,,9,5,"john fiore, vincent curatola, dolores sirianni, rich","ard portnow, douglas stevens, frank santorelli, ray iannicelli, john tromboli, joseph r. gannascoli, dossy peabody, richard snee, lonnie farmer, david ian, eugene boles, ken cheeseman"
5,tt0389377,o signo do caos,o signo do caos,2005,11/11/2005,drama,80,brazil,portuguese,rogério sganzerla,rogério sganzerla,,"eduardo cabús, sálvio do prado, giovanna gold, helena ignez, vera magalhães, ruth mezek, gilson moura, felipe murray, camila pitanga, fred ribeiro, guará rodrigues, djin sganzerla, otávio terceiro, anita terrana","in the b&w first part, a customs agent, dr. amnésio, examines some reels of film, a documentary orson welles made about brazil, and tries to confiscate the material. the color second part shows a party in which those repression agents celebrate their victory against freedom and creativity.",6.7,114,,,,,,1,"eduardo cabús, sálvio do prado, giovanna gold, helen","a ignez, vera magalhães, ruth mezek, gilson moura, felipe murray, camila pitanga, fred ribeiro, guará rodrigues, djin sganzerla, otávio terceiro, anita terrana"
6,tt0389823,budjenje iz mrtvih,budjenje iz mrtvih,2005,02/03/2005,drama,134,serbia,serbian,milos 'misa' radivojevic,milos 'misa' radivojevic,a atalanta,"svetozar cvetkovic, ljuba tadic, anita mancic, tihomir stanic, aleksandra jankovic, ana franic, vanja andric, svetislav 'bule' goncic, nenad ciric, dragoljub vojnov, tatjana torbica, aleksandar gruden, aleksandar djurica, djordje teodosic, jelena curuvija","the story awakening from the dead takes place at the beginning of the bombing, both in belgrade and in one small town in serbia, at the end of march 1999. forty-year-old mickey, an ...",6.5,165,eur 50000,,,,1,2,"svetozar cvetkovic, ljuba tadic, anita mancic, tihomi","r stanic, aleksandra jankovic, ana franic, vanja andric, svetislav 'bule' goncic, nenad ciric, dragoljub vojnov, tatjana torbica, aleksandar gruden, aleksandar djurica, djordje teodosic, jelena curuvija"
7,tt0389911,deck dogz,deck dogz,2005,06/01/2005,"action, adventure, drama",90,australia,english,steve pasvolsky,steve pasvolsky,best fx (boom sound),"sean kennedy, richard wilson, ho thi lu, maris j. caune, philip dodd, glenda linscott, terry rogers, henry goldman, gang li, lien thi mong tran, anthony cogin, geoffrey yu, hai nguyen, thomas campbell, mitchell mcmahon","poker, spasm and blue flame, are trying to escape the law, school, parents, their demons and a couple of criminals to realise their burning ambition; to meet world class skating champion, tony hawk and compete in his skating competition.",4.9,258,,,$ 144942,,8,6,"sean kennedy, richard wilson, ho thi lu, maris j.","caune, philip dodd, glenda linscott, terry rogers, henry goldman, gang li, lien thi mong tran, anthony cogin, geoffrey yu, hai nguyen, thomas campbell, mitchell mcmahon"
8,tt0389957,edison,edison,2005,11/11/2005,"action, crime, drama",99,"usa, germany",english,david j. burke,david j. burke,millennium films,"morgan freeman, kevin spacey, justin timberlake, ll cool j, dylan mcdermott, john heard, cary elwes, roselyn sanchez, damien dante wayans, garfield wilson, marco sanchez, darryl quon, andrew jackson, tim perez, piper perabo","upon discovering a den of corrupt policemen, a fresh-faced journalist makes shaky allies in a jaded reporter and investigator for a powerful district attorney.",5.3,14324,$ 25000000,,$ 4165675,,97,41,"morgan freeman, kevin spacey, justin timberlake, l","l cool j, dylan mcdermott, john heard, cary elwes, roselyn sanchez, damien dante wayans, garfield wilson, marco sanchez, darryl quon, andrew jackson, tim perez, piper perabo"
9,tt0390614,waqt: the race against time,waqt: the race against time,2005,22/04/2005,"comedy, drama, family",153,india,hindi,vipul amrutlal shah,aatish kapadia,blockbuster movie entertainers,"amitabh bachchan, akshay kumar, priyanka chopra, shefali shah, boman irani, rajpal yadav, benjamin gilani, asawari joshi, rajeev mehta, hemant pandey, rammy c. pandey, amit thakur","ishwar chandra thakur is living the good life, content with his loving wife sumitra and son adiya. there is but one thing which gradually comes to annoy ishwar: his son's laziness and ...",6.8,9087,,$ 815064,$ 2395616,,26,33,"amitabh bachchan, akshay kumar, priyanka chopr","a, shefali shah, boman irani, rajpal yadav, benjamin gilani, asawari joshi, rajeev mehta, hemant pandey, rammy c. pandey, amit thakur"
