id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y
0,tt1906389,hel-lo-mai-leo-beu,hel-lo-mai-leo-beu,2009,08/10/2009,"comedy, drama, romance",95,south korea,korean,aaron kim,"aaron kim, ji-eun kim",aim high pictures,"an jo, min-seok oh, sang-wook ryu, min-kyo kim, jong-won lee, kyeong-shil lee, jeong mi-seong, ah-ryeong min, yeong park, so-yul shin, eun-yong yang, hyeon-woo yang",ho-jeong finds out her boyfriend has fallen in love with a man while studying abroad. she demands one month of dating to win him back.,5.7,117,,,$ 61178,,1,,"an jo, min-seok oh, sang-wook ryu, min-kyo kim, jo","ng-won lee, kyeong-shil lee, jeong mi-seong, ah-ryeong min, yeong park, so-yul shin, eun-yong yang, hyeon-woo yang"
1,tt1956589,padikkathavan,padikkathavan,2009,14/01/2009,action,163,india,tamil,"suraj, c. raja durai",suraj,vijaya productions pvt. ltd.,"dhanush, tamannaah bhatia, vivek, suman, atul kulkarni, prathap pothen, sayaji shinde, meera krishna, chetan, devadarshini chetan, sharmila, kadhal thandapani, ganeshkar, mayilsamy, aarthi","rocky, a school dropout, is constantly looked down upon by his father. he spends all his time in a mechanic shop. problems arise in his life after he falls in love with gayathri.",4.9,456,,,$ 22058,,,,"dhanush, tamannaah bhatia, vivek, suman, atul","kulkarni, prathap pothen, sayaji shinde, meera krishna, chetan, devadarshini chetan, sharmila, kadhal thandapani, ganeshkar, mayilsamy, aarthi"
2,tt1976614,dai wo qu yuan fang,dai wo qu yuan fang,2009,11/09/2009,drama,96,taiwan,"min nan, mandarin",tien-yu fu,tien-yu fu,wu's production co. ltd.,"wasir chou, yung-feng lee, hsin li, yun-yun li, mei-hsiu lin, po-hung lin, fang mei","in a small secluded town by the sea, there lives two lonely youths filled with angst and uncertainty. to the 15-year-old ah-guei, her world has always been different from others. her eyes ...",6.9,127,twd 20000000,,,,,4,"wasir chou, yung-feng lee, hsin li, yun-yun li,","mei-hsiu lin, po-hung lin, fang mei"
3,tt1997291,bi pooli,bi pooli,2009,10/09/2009,"drama, romance",108,iran,persian,hamid nematollah,"hadi moghadamdoost, hamid nematollah",hedayat film,"bahram radan, leila hatami, nader fallah, siamak ansari, babak hamidian, habib rezaei, amir jafari, ladan sahraei",a haughty acclaimed newly married fashion designer named iraj is shown the door by his boss after the boss's son arrives at iran to take over his father's company. iraj reluctant to ...,6.4,1828,,,,,,6,"bahram radan, leila hatami, nader fallah, siamak an","sari, babak hamidian, habib rezaei, amir jafari, ladan sahraei"
4,tt1997455,naadodigal,naadodigal,2009,26/06/2009,"action, comedy, drama",161,india,tamil,samuthirakani,samuthirakani,global infotainment,"m. sasikumar, vijay vasanth, bharani, ananya, abhinaya, v. jayaprakash, prabha, 'ganja' karuppu, lakshmi ramakrishnan, namo narayana, nadodigal gopal","three friends decide to do whatever it takes to unite one of their old friends with the girl he is in love with which gradually takes a turn for the worst, but strengthening their bond with each other nonetheless.",7.6,992,inr 50000000,,$ 38695,,1,,"m. sasikumar, vijay vasanth, bharani, ananya, abh","inaya, v. jayaprakash, prabha, 'ganja' karuppu, lakshmi ramakrishnan, namo narayana, nadodigal gopal"
5,tt2012626,cheon-gook-eui woo-pyeon-bae-dal-boo,cheon-gook-eui woo-pyeon-bae-dal-boo,2009,12/11/2009,"drama, fantasy, romance",107,"south korea, japan",korean,hyeong-min lee,eriko kitagawa,cj entertainment,"jae-joong kim, hyo-joo han","jaejoon, isn't your ordinary postman, he delivers letters to heaven from those missing their loved ones.",6.8,637,,,$ 543710,,4,1,"jae-joong kim, hyo-joo han",
6,tt2040426,me and my dick,me and my dick,2009,13/11/2009,"comedy, musical",150,usa,english,matt lang,"eric kahn gale, brian holden",starkid productions,"joey richter, joe walker, jaime lyn beatty, devin lytle, ali gordon, alle-faye monka, nicholas joseph strauss-matathia, brian holden, a.j. holmes, corey dorris, arielle goldman, lily marks, richard campbell, joe moses","joey has a special relationship with his best friend. together they face the trials of love, sex and high school, but these pals are in for the adventure of a lifetime.",7.8,408,,,,,,1,"joey richter, joe walker, jaime lyn beatty, devin lytl","e, ali gordon, alle-faye monka, nicholas joseph strauss-matathia, brian holden, a.j. holmes, corey dorris, arielle goldman, lily marks, richard campbell, joe moses"
7,tt2081259,heartbroken,heartbroken,2009,2009,"drama, romance",110,iran,persian,ali rooyintan,ali rooyintan,documentary & experimental film center,"bita baadraan, shaghayegh farahani, shahab hosseini, gohar kheirandish, fariba kowsari, sima matlabi, mahmood pakniat, reza rooygari, khosro shakibai, baran zamani",heartbroken is the story of love between two youngsters who have two different perspectives and are from two different families.,5.8,827,,,,,2,,"bita baadraan, shaghayegh farahani, shahab hosse","ini, gohar kheirandish, fariba kowsari, sima matlabi, mahmood pakniat, reza rooygari, khosro shakibai, baran zamani"
8,tt2145853,rifftrax live: plan 9 from outer space,rifftrax live: plan 9 from outer space,2009,20/08/2009,"comedy, sci-fi",116,usa,english,,,,"veronica belmont, bill corbett, jonathan coulton, richard kyanka, kevin murphy, michael j. nelson",the stars of mst3k riff the worst movie of all time in rifftrax live - plan 9 from outer space. live from the historic belcourt theater in nashville! hosted by internet superstar veronica ...,7.1,234,,,,,2,,"veronica belmont, bill corbett, jonathan coulton,","richard kyanka, kevin murphy, michael j. nelson"
9,tt2196091,vennila kabadi kuzhu,vennila kabadi kuzhu,2009,29/01/2009,"drama, sport",145,india,tamil,suseenthiran,"bhaskar sakthi, suseenthiran",imagine creations,"vishnu vishal, saranya mohan, kishore kumar g., soori, mayi sundar, appukutty, nitish veera, ramesh pandiyan, vairavan, srithika, ramachandran, vijay sethupathi",it's a village-based theme and revolves around a group of youngsters who want to make it really big in the sport. the events that unfold in their lives form the crux.,7.3,353,,,$ 3856,,,1,"vishnu vishal, saranya mohan, kishore kumar g., s","oori, mayi sundar, appukutty, nitish veera, ramesh pandiyan, vairavan, srithika, ramachandran, vijay sethupathi"
10,tt2210425,alf mabrouk,alf mabrouk,2009,2009,"comedy, drama, fantasy",115,egypt,arabic,ahmed nader galal,khaled diab,company of the united brothers cinema,"ahmed helmy, laila ezz el arab, mahmoud el feshawy, mohamed farraag, sarrah abdelrahman, rahmah hasan, amir salah, hany el sabagh, bayyumi fuad, mohamed khamis, mona mamdouh, laila nagaty, abulrahman sara",a guy lives the same day over and over and deals with the same events each time which changes the way he looks to his life.,7.4,3030,,,$ 1147807,,2,,"ahmed helmy, laila ezz el arab, mahmoud el feshaw","y, mohamed farraag, sarrah abdelrahman, rahmah hasan, amir salah, hany el sabagh, bayyumi fuad, mohamed khamis, mona mamdouh, laila nagaty, abulrahman sara"
11,tt2226347,el farah,el farah,2009,06/06/2009,drama,95,egypt,arabic,sameh abdulaziz,ahmed abdallah,elsobky film,"salah abdullah, sawsan badr, maged el kedwany, mahmood el-gindi, khaled el-sawi, yaser galal, donia samir ghanem, hassan hosny, mayy kassab, ahmed abdallah mahmoud, joumana mourad, karima mukhtar, rogeena, bassem samra",zainhum makes fake wedding to regain his money from the guests and during the wedding his mother dies and he has to choose either to continue the wedding or cancel it.,6.9,850,egp 10000000,,$ 64400,,2,,"salah abdullah, sawsan badr, maged el kedwany, ma","hmood el-gindi, khaled el-sawi, yaser galal, donia samir ghanem, hassan hosny, mayy kassab, ahmed abdallah mahmoud, joumana mourad, karima mukhtar, rogeena, bassem samra"
12,tt2248905,madly bangali,madly bangali,2009,29/05/2009,"drama, music, musical",130,india,"english, bengali, hindi",anjan dutt,anjan dutt,,"soumyak kanti debiswas, tanaji dasgupta, sumeet thakur, anubrata basu, roshni bose, anasuya sengupta, aparajita adhya, vikramjit banerjee, sudipa basu, biswajit chakraborty, saswata chatterjee, siddhartha chatterjee, supriya choudhury, anjan dutt, amyt dutta","members of a bangla rock band, 'madly bangali', tell the story of their life evolved around music.",7.1,254,inr 2000000,,,,3,,"soumyak kanti debiswas, tanaji dasgupta, sumeet th","akur, anubrata basu, roshni bose, anasuya sengupta, aparajita adhya, vikramjit banerjee, sudipa basu, biswajit chakraborty, saswata chatterjee, siddhartha chatterjee, supriya choudhury, anjan dutt, amyt dutta"
13,tt2299573,the wrestling road diaries,the wrestling road diaries,2009,21/03/2011,sport,165,usa,english,eric santamaria,adam lash,,"colt cabana, bryan danielson, sal rinauro","three independent wrestlers (colt cabana, sal rinauro and bryan danielson) document their trials and tribulations whilst travelling across america.",7.4,110,$ 100000,,,,1,,"colt cabana, bryan danielson, sal rinauro",
14,tt2321421,mee shivajiraje bhosale boltoy,mee shivajiraje bhosale boltoy,2009,03/04/2009,drama,149,india,marathi,santosh manjrekhar,"abhijeet shirish deshpande, mahesh manjrekar",,"mahesh manjrekar, sachin khedekar, makarand anaspure, siddarth jadhav, suchitra bandekar, priya bapat, abhijit kelkar, ganesh yadav, reema lagoo, vidyadhar joshi, bharat jadhav, ankush chaudhari, bharat dabholkar, shrirang deshmukh, ramdas jadhav","dinkar maruti bhosle, a common marathi man with an identity crisis ends up being the crusader against threats to his existance & identity as a 'marathi maanus'. in his battle against all odds & evils, he is assisted by shivaji maharaj.",7.9,1484,inr 45000000,,,,2,,"mahesh manjrekar, sachin khedekar, makarand anasp","ure, siddarth jadhav, suchitra bandekar, priya bapat, abhijit kelkar, ganesh yadav, reema lagoo, vidyadhar joshi, bharat jadhav, ankush chaudhari, bharat dabholkar, shrirang deshmukh, ramdas jadhav"
