id,imdb_title_id,title,original_title,year,date_published,genre,duration,country,language,director,writer,production_company,actors,description,avg_vote,votes,budget,usa_gross_income,worlwide_gross_income,metascore,reviews_from_users,reviews_from_critics,lead_actors,y
0,tt0077888,the mafu cage,the mafu cage,1978,01/09/1979,"drama, horror, thriller",102,usa,english,karen arthur,"don chastain, éric wesphal",,"lee grant, carol kane, will geer, james olson, budar, william sherwood","ellen has been taking care of her insane younger sister cissy ever since their explorer father died. when cissy's pet ape dies in their mansion's dungeon and ellen finds a boyfriend, cissy's incestuous desire for her sister turns deadly.",5.9,376,,,,,11,34,"lee grant, carol kane, will geer, james olson, budar,",william sherwood
1,tt0077889,magic,magic,1978,13/04/1979,"drama, horror",107,usa,english,richard attenborough,"william goldman, william goldman",joseph e. levine productions,"anthony hopkins, ann-margret, burgess meredith, ed lauter, e.j. andré, david ogden stiers, jerry houser, lillian randolph, joe lowry, beverly sanders, i.w. klein, steve hart, patrick mccullough, robert hackman, mary munday",a ventriloquist is at the mercy of his vicious dummy while he tries to renew a romance with his high school sweetheart.,6.8,8271,$ 7000000,,,,100,80,"anthony hopkins, ann-margret, burgess meredith,","ed lauter, e.j. andré, david ogden stiers, jerry houser, lillian randolph, joe lowry, beverly sanders, i.w. klein, steve hart, patrick mccullough, robert hackman, mary munday"
2,tt0077890,the magic of lassie,the magic of lassie,1978,16/03/1979,"drama, family, musical",100,usa,english,don chaffey,"robert b. sherman, richard m. sherman",lassie productions,"mickey rooney, pernell roberts, stephanie zimbalist, michael sharrett, alice faye, gene evans, james stewart, mike mazurki, robert lussier, lane davies, william flatley, james reynolds, rayford barnes, w.d. goodman, hank metheney",lassie is trying to find her way home. she will have to run all the way from colorado to california. her loving owner is looking for her too.,5.7,468,,,,,10,5,"mickey rooney, pernell roberts, stephanie zimbalis","t, michael sharrett, alice faye, gene evans, james stewart, mike mazurki, robert lussier, lane davies, william flatley, james reynolds, rayford barnes, w.d. goodman, hank metheney"
3,tt0077891,magyarok,magyarok,1978,08/02/1978,drama,107,hungary,hungarian,zoltán fábri,"józsef balázs, zoltán fábri",capital,"gábor koncz, éva pap, józsef bihari, sándor szabó, zoltán gera, tibor molnár, istván o. szabó, noémi apor, bertalan solti, anna muszte, andrás ambrus, erzsi pápai, gellért raksányi, istván holl, istván szilágyi",many hungarian migrant workers work in germany in good conditions and for good wages during ww2. they face the war only once they return home to hungary.,7.2,179,,,,,1,,"gábor koncz, éva pap, józsef bihari, sándor szabó, z","oltán gera, tibor molnár, istván o. szabó, noémi apor, bertalan solti, anna muszte, andrás ambrus, erzsi pápai, gellért raksányi, istván holl, istván szilágyi"
4,tt0077892,mai shen qi,mai shen qi,1978,03/08/1978,comedy,96,hong kong,"english, cantonese",michael hui,"michael hui, chi-hung so",golden harvest company,"michael hui, ricky hui, samuel hui, tiffany bao, fu hung cheng, wei yang, ellen lau, russell cawthorne, lo kam, ging-cheung chan, siu ping cheng, pa-ching huang, peng-fei li, louis kwong, chun chin","struggling actor chih-wen (michael hui) got a raw deal from his company, mtv studios, by signing a binding 8-year contract and was only given one opportunity to perform live thus far. soon,...",6.5,238,,,,,2,2,"michael hui, ricky hui, samuel hui, tiffany bao,","fu hung cheng, wei yang, ellen lau, russell cawthorne, lo kam, ging-cheung chan, siu ping cheng, pa-ching huang, peng-fei li, louis kwong, chun chin"
5,tt0077895,malibu beach,malibu beach,1978,22/12/1978,comedy,96,usa,english,robert j. rosenthal,"celia susan cotelo, robert j. rosenthal",marimark productions,"kim lankford, james daughton, susan player, michael luther, steve oliver, flora plumb, roger lawrence pierce, sherry lee marks, tara strohmeier, rory stevens, parris buckner, bruce kimball, bill adler, jim kester, diana herbert","school's out and it's time for a summer of fun, mischief and love for various characters on malibu beach.",4.6,559,,,,,13,14,"kim lankford, james daughton, susan player, micha","el luther, steve oliver, flora plumb, roger lawrence pierce, sherry lee marks, tara strohmeier, rory stevens, parris buckner, bruce kimball, bill adler, jim kester, diana herbert"
6,tt0077904,the manitou,the manitou,1978,15/04/1978,"horror, sci-fi",104,"canada, usa",english,william girdler,"graham masterton, william girdler",mid-america pictures,"tony curtis, michael ansara, susan strasberg, stella stevens, jon cedar, ann sothern, burgess meredith, paul mantee, jeanette nolan, lurene tuttle, hugh corcoran, anne newman bacal, jan heininger, michael laren, cindy stanford",a psychic's girlfriend finds out that a lump on her back is a growing reincarnation of a 400 year-old demonic native american spirit.,5.3,2426,$ 3000000,,,47,68,82,"tony curtis, michael ansara, susan strasberg, stella","stevens, jon cedar, ann sothern, burgess meredith, paul mantee, jeanette nolan, lurene tuttle, hugh corcoran, anne newman bacal, jan heininger, michael laren, cindy stanford"
7,tt0077912,mardi gras massacre,mardi gras massacre,1978,11/08/1978,horror,97,usa,english,jack weis,jack weis,,"curt dawson, gwen arment, william metzo, laura misch owens, cathryn lacey, nancy dancer, butch benit, wayne mack, ronald tanet",police try to capture someone who is commiting ritual murders of women during mardi gras in new orleans.,3.6,542,,,,,31,39,"curt dawson, gwen arment, william metzo, laura m","isch owens, cathryn lacey, nancy dancer, butch benit, wayne mack, ronald tanet"
8,tt0077917,matilda,matilda,1978,14/12/1978,"comedy, crime, family",105,usa,english,daniel mann,"timothy galfas, paul gallico",american international pictures (aip),"elliott gould, clive revill, harry guardino, roy clark, karen carlson, art metrano, lionel stander, roberta collins, larry pennell, gary morgan, robert mitchum, lenny montana, frank avianca, joe de fish, pat henry",a small-time talent agent discovers an amazing boxing kangaroo and figures to use it as his stepping-stone into the big time.,3.4,295,,,,,7,4,"elliott gould, clive revill, harry guardino, roy clark,","karen carlson, art metrano, lionel stander, roberta collins, larry pennell, gary morgan, robert mitchum, lenny montana, frank avianca, joe de fish, pat henry"
9,tt0077919,mean dog blues,mean dog blues,1978,01/03/1978,"drama, action, thriller",108,usa,english,mel stuart,george lefferts,bing crosby productions,"gregg henry, kay lenz, scatman crothers, tina louise, felton perry, gregory sierra, james wainwright, william windom, george kennedy, marc alaimo, edith atwater, jimmy boyd, ed call, john daniels, christina hart","when his friend injures a little girl in a small southern town while driving drunk, country singer paul agrees to state in court he had been driving. but his lawyer betrays him, and he ends...",6,210,,,,,3,8,"gregg henry, kay lenz, scatman crothers, tina louise",", felton perry, gregory sierra, james wainwright, william windom, george kennedy, marc alaimo, edith atwater, jimmy boyd, ed call, john daniels, christina hart"
